INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.1818,0.2926,16.3165,1,0.0001
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-13.3045,1636.6433,0.0001,1,0.9935
I00699,1,AGE_GROUP_10,0.1204,0.6152,0.0383,1,0.8448
I00699,1,AGE_GROUP_11,1.2543,0.4545,7.6157,1,0.0058
I00699,1,AGE_GROUP_12,1.8801,0.4253,19.5429,1,0
I00699,1,AGE_GROUP_13,1.9595,0.4284,20.924,1,0
I00699,1,AGE_GROUP_14,2.5642,0.4101,39.0894,1,0
I00699,1,AGE_GROUP_15,2.3964,0.4116,33.9038,1,0
I00699,1,AGE_GROUP_16,2.6426,0.4103,41.4853,1,0
I00699,1,AGE_GROUP_17,2.9009,0.4021,52.0496,1,0
I00699,1,AGE_GROUP_18,3.2275,0.4039,63.8398,1,0
I00699,1,AGE_GROUP_19,3.4188,0.4263,64.3273,1,0
I00699,1,AGE_GROUP_2,-13.5316,1172.1098,0.0001,1,0.9908
I00699,1,AGE_GROUP_20,3.985,0.477,69.7835,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-13.4085,1333.514,0.0001,1,0.992
I00699,1,AGE_GROUP_4,-13.5899,1110.6351,0.0001,1,0.9902
I00699,1,AGE_GROUP_5,-13.7669,667.0961,0.0004,1,0.9835
I00699,1,AGE_GROUP_6,-13.8247,501.3964,0.0008,1,0.978
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.7576,0.4777,2.5153,1,0.1127
I00699,1,AGE_GROUP_9,0.7946,0.4893,2.6367,1,0.1044
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.4518,0.1754,6.6334,1,0.01
I00699,1,CHARLSON_INDEX_3,1.1351,0.1587,51.1438,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.0604,0.131,0.2121,1,0.6451
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-5.1752,0.3757,189.7289,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,0.0759,0.1574,0.2322,1,0.6299
I00699,1,YEAR_INDEX_3,0.0198,0.1572,0.0158,1,0.8998
I00699,2,ADMIMETH_1,-0.6279,0.0511,150.7225,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.9869,0.2016,391.1279,1,0
I00699,2,AGE_GROUP_10,-1.544,0.069,500.4222,1,0
I00699,2,AGE_GROUP_11,-1.281,0.0519,610.0904,1,0
I00699,2,AGE_GROUP_12,-1.1138,0.0436,653.0987,1,0
I00699,2,AGE_GROUP_13,-0.9168,0.0373,603.2785,1,0
I00699,2,AGE_GROUP_14,-0.6981,0.0317,486.1225,1,0
I00699,2,AGE_GROUP_15,-0.5175,0.0274,357.6561,1,0
I00699,2,AGE_GROUP_16,-0.2408,0.0259,86.2487,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.4805,0.0233,423.6958,1,0
I00699,2,AGE_GROUP_19,0.8075,0.0238,1151.8756,1,0
I00699,2,AGE_GROUP_2,-3.215,0.171,353.2887,1,0
I00699,2,AGE_GROUP_20,1.1519,0.0254,2049.3699,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,AGE_GROUP_3,-2.8573,0.2157,175.5012,1,0
I00699,2,AGE_GROUP_4,-2.646,0.2614,102.4678,1,0
I00699,2,AGE_GROUP_5,-2.7844,0.2208,158.9692,1,0
I00699,2,AGE_GROUP_6,-2.3352,0.1574,220.0148,1,0
I00699,2,AGE_GROUP_7,-2.2648,0.1432,250.0615,1,0
I00699,2,AGE_GROUP_8,-1.9698,0.1078,333.7024,1,0
I00699,2,AGE_GROUP_9,-1.807,0.0944,366.5868,1,0
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.0816,0.0279,8.5553,1,0.0034
I00699,2,CHARLSON_INDEX_3,0.4578,0.0193,564.0911,1,0
I00699,2,GENDER_1,-0.0467,0.0134,12.1926,1,0.0005
I00699,2,GENDER_2,0,,,0,
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.5285,0.0265,3316.8649,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,0.0155,0.0157,0.9806,1,0.322
I00699,2,YEAR_INDEX_3,0.1092,0.0164,44.3525,1,0
I00699,3,ADMIMETH_1,-0.4643,0.2657,3.0543,1,0.0805
I00699,3,ADMIMETH_2,0,,,0,
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,AGE_GROUP_1,2.22,1.2258,3.2799,1,0.0701
I00699,3,AGE_GROUP_10,4.4228,1.0488,17.7821,1,0
I00699,3,AGE_GROUP_11,3.7585,1.073,12.2703,1,0.0005
I00699,3,AGE_GROUP_12,4.6513,1.0269,20.5174,1,0
I00699,3,AGE_GROUP_13,4.6527,1.0237,20.6566,1,0
I00699,3,AGE_GROUP_14,4.812,1.0185,22.3232,1,0
I00699,3,AGE_GROUP_15,4.6713,1.0156,21.1535,1,0
I00699,3,AGE_GROUP_16,4.9744,1.013,24.1158,1,0
I00699,3,AGE_GROUP_17,5.4041,1.009,28.6837,1,0
I00699,3,AGE_GROUP_18,5.6335,1.0087,31.1945,1,0
I00699,3,AGE_GROUP_19,5.8011,1.009,33.0515,1,0
I00699,3,AGE_GROUP_2,0,,,0,
I00699,3,AGE_GROUP_20,6.4048,1.0096,40.2418,1,0
I00699,3,AGE_GROUP_21,0,,,0,
I00699,3,AGE_GROUP_3,0.6899,1.4147,0.2378,1,0.6258
I00699,3,AGE_GROUP_4,1.97,1.4158,1.9361,1,0.1641
I00699,3,AGE_GROUP_5,2.6223,1.4169,3.4254,1,0.0642
I00699,3,AGE_GROUP_6,-9.0912,329.2513,0.0008,1,0.978
I00699,3,AGE_GROUP_7,3.1977,1.2282,6.7786,1,0.0092
I00699,3,AGE_GROUP_8,3.5868,1.1584,9.5868,1,0.002
I00699,3,AGE_GROUP_9,3.4515,1.1588,8.8719,1,0.0029
I00699,3,CHARLSON_INDEX_1,0,,,0,
I00699,3,CHARLSON_INDEX_2,0.1461,0.1622,0.8113,1,0.3677
I00699,3,CHARLSON_INDEX_3,0.7544,0.1138,43.9698,1,0
I00699,3,GENDER_1,0,,,0,
I00699,3,GENDER_2,0.0115,0.0853,0.0183,1,0.8923
I00699,3,GENDER_3,0,,,0,
I00699,3,Intercept,-7.7536,1.0025,59.8152,1,0
I00699,3,YEAR_INDEX_1,0,,,0,
I00699,3,YEAR_INDEX_2,-0.0114,0.1013,0.0126,1,0.9105
I00699,3,YEAR_INDEX_3,0.0559,0.1032,0.2936,1,0.5879
I00699,4,ADMIMETH_1,-1.2203,0.278,19.2749,1,0
I00699,4,ADMIMETH_2,0,,,0,
I00699,4,ADMIMETH_3,0,,,0,
I00699,4,AGE_GROUP_1,0,,,0,
I00699,4,AGE_GROUP_10,1.9097,0.6804,7.8788,1,0.005
I00699,4,AGE_GROUP_11,2.5038,0.5778,18.7788,1,0
I00699,4,AGE_GROUP_12,2.0758,0.5842,12.6266,1,0.0004
I00699,4,AGE_GROUP_13,2.9057,0.5452,28.404,1,0
I00699,4,AGE_GROUP_14,3.0376,0.5392,31.7432,1,0
I00699,4,AGE_GROUP_15,2.9818,0.5349,31.0805,1,0
I00699,4,AGE_GROUP_16,3.2116,0.5332,36.2864,1,0
I00699,4,AGE_GROUP_17,3.2395,0.5334,36.8849,1,0
I00699,4,AGE_GROUP_18,3.3885,0.5326,40.4837,1,0
I00699,4,AGE_GROUP_19,3.3886,0.5377,39.7214,1,0
I00699,4,AGE_GROUP_2,-13.0261,517.8828,0.0006,1,0.9799
I00699,4,AGE_GROUP_20,3.9906,0.541,54.4181,1,0
I00699,4,AGE_GROUP_21,0,,,0,
I00699,4,AGE_GROUP_3,-13.078,842.7988,0.0002,1,0.9876
I00699,4,AGE_GROUP_4,0.9195,1.1231,0.6702,1,0.413
I00699,4,AGE_GROUP_5,1.4696,0.8717,2.8424,1,0.0918
I00699,4,AGE_GROUP_6,0.6594,1.1217,0.3456,1,0.5566
I00699,4,AGE_GROUP_7,-12.986,864.0566,0.0002,1,0.988
I00699,4,AGE_GROUP_8,1.96,0.7134,7.5475,1,0.006
I00699,4,AGE_GROUP_9,1.1754,0.8722,1.8161,1,0.1778
I00699,4,CHARLSON_INDEX_1,0,,,0,
I00699,4,CHARLSON_INDEX_2,0.422,0.1789,5.5681,1,0.0183
I00699,4,CHARLSON_INDEX_3,0.8281,0.1519,29.6999,1,0
I00699,4,GENDER_1,0.4114,0.1048,15.4245,1,0.0001
I00699,4,GENDER_2,0,,,0,
I00699,4,GENDER_3,0,,,0,
I00699,4,Intercept,-6.4413,0.5104,159.2424,1,0
I00699,4,YEAR_INDEX_1,0,,,0,
I00699,4,YEAR_INDEX_2,0.1628,0.1261,1.6681,1,0.1965
I00699,4,YEAR_INDEX_3,0.2093,0.1258,2.7694,1,0.0961
I00699,5,ADMIMETH_1,-2.3085,0.5929,15.1579,1,0.0001
I00699,5,ADMIMETH_2,0,,,0,
I00699,5,ADMIMETH_3,0,,,0,
