INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.0634,0.2578,17.0074,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-13.0379,942.394,0.0002,1,0.989
I00699,1,AGE_GROUP_10,-0.5418,0.5054,1.1493,1,0.2837
I00699,1,AGE_GROUP_11,0.3333,0.3842,0.7525,1,0.3857
I00699,1,AGE_GROUP_12,1.0802,0.3252,11.0365,1,0.0009
I00699,1,AGE_GROUP_13,1.2227,0.327,13.9787,1,0.0002
I00699,1,AGE_GROUP_14,1.381,0.3274,17.7927,1,0
I00699,1,AGE_GROUP_15,1.9224,0.2951,42.4415,1,0
I00699,1,AGE_GROUP_16,2.0961,0.2959,50.1824,1,0
I00699,1,AGE_GROUP_17,2.2675,0.2929,59.9152,1,0
I00699,1,AGE_GROUP_18,2.487,0.299,69.2025,1,0
I00699,1,AGE_GROUP_19,3.0263,0.313,93.4706,1,0
I00699,1,AGE_GROUP_2,-0.3155,1.0312,0.0936,1,0.7596
I00699,1,AGE_GROUP_20,3.1901,0.3917,66.317,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-13.1612,819.311,0.0003,1,0.9872
I00699,1,AGE_GROUP_4,-13.2234,562.1018,0.0006,1,0.9812
I00699,1,AGE_GROUP_5,-0.9668,0.7459,1.6801,1,0.1949
I00699,1,AGE_GROUP_6,-0.8045,0.5051,2.5365,1,0.1112
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.599,0.4709,1.618,1,0.2034
I00699,1,AGE_GROUP_9,-0.3859,0.4709,0.6716,1,0.4125
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.4862,0.1597,9.2664,1,0.0023
I00699,1,CHARLSON_INDEX_3,1.0228,0.1525,44.9822,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.4207,0.1275,10.8908,1,0.001
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.1546,0.2503,275.6138,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.2746,0.145,3.5876,1,0.0582
I00699,1,YEAR_INDEX_3,-0.3413,0.1422,5.7621,1,0.0164
I00699,2,ADMIMETH_1,-0.6703,0.0571,137.9181,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.8624,0.1984,379.0673,1,0
I00699,2,AGE_GROUP_10,-1.5793,0.0748,445.9062,1,0
I00699,2,AGE_GROUP_11,-1.4131,0.06,554.1235,1,0
I00699,2,AGE_GROUP_12,-1.1784,0.0501,553.1915,1,0
I00699,2,AGE_GROUP_13,-0.9722,0.0426,521.7034,1,0
I00699,2,AGE_GROUP_14,-0.678,0.0351,373.1009,1,0
I00699,2,AGE_GROUP_15,-0.5771,0.0316,333.3631,1,0
I00699,2,AGE_GROUP_16,-0.2854,0.0298,91.7697,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.4638,0.0268,299.2048,1,0
I00699,2,AGE_GROUP_19,0.8153,0.0275,879.5376,1,0
I00699,2,AGE_GROUP_2,-2.9447,0.1651,318.1023,1,0
I00699,2,AGE_GROUP_20,1.1889,0.0298,1588.9182,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,AGE_GROUP_3,-2.7059,0.2216,149.1172,1,0
I00699,2,AGE_GROUP_4,-2.5857,0.2816,84.3302,1,0
I00699,2,AGE_GROUP_5,-2.4363,0.2081,137.06,1,0
I00699,2,AGE_GROUP_6,-2.3611,0.1754,181.2187,1,0
I00699,2,AGE_GROUP_7,-2.1773,0.1533,201.7414,1,0
I00699,2,AGE_GROUP_8,-2.0781,0.1283,262.3255,1,0
I00699,2,AGE_GROUP_9,-1.7249,0.0974,313.3735,1,0
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.096,0.0308,9.6954,1,0.0018
I00699,2,CHARLSON_INDEX_3,0.4596,0.0214,460.1458,1,0
I00699,2,GENDER_1,-0.067,0.0154,18.8705,1,0
I00699,2,GENDER_2,0,,,0,
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.4428,0.0299,2322.5227,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,0.1351,0.018,56.2078,1,0
I00699,2,YEAR_INDEX_3,0.3256,0.0192,288.6148,1,0
I00699,3,ADMIMETH_1,-0.3839,0.2527,2.3073,1,0.1288
I00699,3,ADMIMETH_2,0,,,0,
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,AGE_GROUP_1,2.0244,1.2261,2.7262,1,0.0987
I00699,3,AGE_GROUP_10,4.1257,1.0534,15.3402,1,0.0001
I00699,3,AGE_GROUP_11,3.7695,1.0651,12.5244,1,0.0004
I00699,3,AGE_GROUP_12,4.0825,1.0376,15.4808,1,0.0001
I00699,3,AGE_GROUP_13,4.5349,1.0246,19.5916,1,0
I00699,3,AGE_GROUP_14,4.519,1.0191,19.6613,1,0
I00699,3,AGE_GROUP_15,4.5698,1.0152,20.2617,1,0
I00699,3,AGE_GROUP_16,4.6525,1.014,21.0524,1,0
I00699,3,AGE_GROUP_17,5.1228,1.0099,25.7316,1,0
I00699,3,AGE_GROUP_18,5.4845,1.0087,29.5606,1,0
I00699,3,AGE_GROUP_19,5.8373,1.009,33.469,1,0
I00699,3,AGE_GROUP_2,0,,,0,
I00699,3,AGE_GROUP_20,6.1905,1.0109,37.5039,1,0
I00699,3,AGE_GROUP_21,0,,,0,
I00699,3,AGE_GROUP_3,-11.2387,369.1435,0.0009,1,0.9757
I00699,3,AGE_GROUP_4,-11.2472,681.7084,0.0003,1,0.9868
I00699,3,AGE_GROUP_5,2.3641,1.4172,2.7828,1,0.0953
I00699,3,AGE_GROUP_6,-11.2992,880.8697,0.0002,1,0.9898
I00699,3,AGE_GROUP_7,2.334,1.4175,2.7112,1,0.0996
I00699,3,AGE_GROUP_8,3.0177,1.2288,6.0313,1,0.0141
I00699,3,AGE_GROUP_9,3.3666,1.1221,9.0022,1,0.0027
I00699,3,CHARLSON_INDEX_1,0,,,0,
I00699,3,CHARLSON_INDEX_2,-0.1758,0.1718,1.0467,1,0.3063
I00699,3,CHARLSON_INDEX_3,0.7215,0.1137,40.2648,1,0
I00699,3,GENDER_1,0,,,0,
I00699,3,GENDER_2,0.1301,0.0883,2.1706,1,0.1407
I00699,3,GENDER_3,0,,,0,
I00699,3,Intercept,-7.5224,1.0032,56.2299,1,0
I00699,3,YEAR_INDEX_1,0,,,0,
I00699,3,YEAR_INDEX_2,-0.0504,0.1102,0.209,1,0.6475
I00699,3,YEAR_INDEX_3,0.2481,0.1048,5.5983,1,0.018
I00699,4,ADMIMETH_1,-0.9155,0.2262,16.3792,1,0.0001
I00699,4,ADMIMETH_2,0,,,0,
I00699,4,ADMIMETH_3,0,,,0,
I00699,4,AGE_GROUP_1,0,,,0,
I00699,4,AGE_GROUP_10,0.8566,0.7153,1.434,1,0.2311
I00699,4,AGE_GROUP_11,2.124,0.4992,18.1015,1,0
I00699,4,AGE_GROUP_12,1.8266,0.5005,13.3166,1,0.0003
