INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,RCF22,AIREDALE GENERAL HOSPITAL,0.8842,2,33765,1005,1135,0.9108,1.0952,0.8466,1.1811,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK02,ASHFORD HOSPITAL,*,*,1440,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW15 3AA
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK48,RUNNYMEDE HOSPITAL,*,*,35,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT16 0RQ
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK01,ST PETER'S HOSPITAL,0.9738,2,43815,1675,1720,0.9271,1.0768,0.8496,1.177,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,KT16 0PZ
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK49,WOKING NUFFIELD HOSPITAL,*,*,65,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU21 4BY
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4DG,KING GEORGE HOSPITAL,1.0156,2,18750,760,750,0.8909,1.1181,0.8423,1.1872,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG3 8YB
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4QH,QUEEN'S HOSPITAL,1.041,2,65735,2265,2180,0.9351,1.068,0.8508,1.1753,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RM7 0AG
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4NH,NOT PROVIDED,*,*,15,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4RH,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4TC,NOT PROVIDED,*,*,230,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,RFFAA,BARNSLEY HOSPITAL,1.0185,2,49130,1625,1595,0.9244,1.0798,0.8492,1.1776,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S75 2EP
I00699,R1H,BARTS HEALTH NHS TRUST,R1H41,BARKING BIRTH CENTRE,*,*,395,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG11 9LX
I00699,R1H,BARTS HEALTH NHS TRUST,R1H65,BARTS AND THE LONDON OUTREACH CLINICS,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,BARTS HEALTH NHS TRUST,R1H90,BLT BIRTH CENTRE,*,*,590,0,*,*,*,*,*,DENTISTS,ONE,TRUST,E14 8JH
I00699,R1H,BARTS HEALTH NHS TRUST,R1H86,BLT PRIVATE HOSPITALS,*,*,65,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,BARTS HEALTH NHS TRUST,R1H15,COMMUNITY HEALTH SERVICES,*,*,*,*,*,*,*,*,*,UNDETERMINED,ONE,TRUST,E1 4DG
I00699,R1H,BARTS HEALTH NHS TRUST,R1H11,GATEWAY SURGICAL CENTRE,*,*,950,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E13 8SL
I00699,R1H,BARTS HEALTH NHS TRUST,R1H13,MILE END HOSPITAL,*,*,30,0,*,*,*,*,*,MENTAL HEALTH - COMMUNITY & RESIDENTIAL - NHS,ONE,TRUST,E1 4DG
