INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.1444,0.282,16.474,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-13.5806,1673.0391,0.0001,1,0.9935
I00699,1,AGE_GROUP_10,-0.2248,0.5868,0.1467,1,0.7017
I00699,1,AGE_GROUP_11,1.0659,0.4027,7.0058,1,0.0081
I00699,1,AGE_GROUP_12,1.4573,0.3907,13.9117,1,0.0002
I00699,1,AGE_GROUP_13,1.66,0.383,18.7826,1,0
I00699,1,AGE_GROUP_14,2.2822,0.3632,39.4767,1,0
I00699,1,AGE_GROUP_15,2.1346,0.362,34.7723,1,0
I00699,1,AGE_GROUP_16,2.3221,0.3635,40.8025,1,0
I00699,1,AGE_GROUP_17,2.6322,0.3559,54.6946,1,0
I00699,1,AGE_GROUP_18,2.7965,0.3601,60.309,1,0
I00699,1,AGE_GROUP_19,2.9753,0.383,60.3647,1,0
I00699,1,AGE_GROUP_2,-13.7988,1151.8086,0.0001,1,0.9904
I00699,1,AGE_GROUP_20,3.5713,0.4517,62.5157,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-13.6837,1368.8044,0.0001,1,0.992
I00699,1,AGE_GROUP_4,-13.8577,1079.9508,0.0002,1,0.9898
I00699,1,AGE_GROUP_5,-14.0168,646.7242,0.0005,1,0.9827
I00699,1,AGE_GROUP_6,-14.0883,490.5235,0.0008,1,0.9771
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.5536,0.4302,1.6562,1,0.1981
I00699,1,AGE_GROUP_9,0.5766,0.4407,1.7118,1,0.1908
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.5753,0.1716,11.2448,1,0.0008
I00699,1,CHARLSON_INDEX_3,1.2149,0.1575,59.4841,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.1581,0.1291,1.4985,1,0.2209
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.7935,0.3249,217.6191,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.0203,0.1533,0.0176,1,0.8946
I00699,1,YEAR_INDEX_3,-0.1074,0.153,0.4928,1,0.4827
I00699,2,ADMIMETH_1,-0.638,0.0518,151.565,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.8677,0.1909,410.6471,1,0
I00699,2,AGE_GROUP_10,-1.5747,0.0695,513.3241,1,0
I00699,2,AGE_GROUP_11,-1.3471,0.0535,633.9919,1,0
I00699,2,AGE_GROUP_12,-1.1681,0.0449,677.9067,1,0
I00699,2,AGE_GROUP_13,-0.9735,0.0384,644.205,1,0
I00699,2,AGE_GROUP_14,-0.7133,0.0322,491.6874,1,0
I00699,2,AGE_GROUP_15,-0.5249,0.0278,355.6157,1,0
I00699,2,AGE_GROUP_16,-0.2586,0.0265,95.5066,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.4892,0.0238,422.2446,1,0
I00699,2,AGE_GROUP_19,0.8037,0.0243,1095.037,1,0
I00699,2,AGE_GROUP_2,-3.1488,0.1688,347.8908,1,0
I00699,2,AGE_GROUP_20,1.1648,0.026,2009.6098,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,AGE_GROUP_3,-2.7342,0.2027,181.9276,1,0
I00699,2,AGE_GROUP_4,-2.9337,0.3044,92.8934,1,0
I00699,2,AGE_GROUP_5,-2.7135,0.216,157.7876,1,0
I00699,2,AGE_GROUP_6,-2.4122,0.1632,218.3917,1,0
I00699,2,AGE_GROUP_7,-2.2805,0.1461,243.5271,1,0
I00699,2,AGE_GROUP_8,-2.0609,0.1133,330.8844,1,0
I00699,2,AGE_GROUP_9,-1.8391,0.096,367.2288,1,0
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.0845,0.0283,8.8956,1,0.0029
I00699,2,CHARLSON_INDEX_3,0.4447,0.0196,514.6735,1,0
I00699,2,GENDER_1,-0.0626,0.0137,20.9435,1,0
I00699,2,GENDER_2,0,,,0,
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.4879,0.027,3043.3478,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,-0.0017,0.0161,0.0116,1,0.9144
