INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,R1F,ISLE OF WIGHT NHS TRUST,774,535,239,69.1,30.9
I00733,R1H,BARTS HEALTH NHS TRUST,3492,2777,715,79.5,20.5
I00733,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2304,1739,565,75.5,24.5
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1238,810,428,65.4,34.6
I00733,RA3,WESTON AREA HEALTH NHS TRUST,920,630,290,68.5,31.5
I00733,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,881,577,304,65.5,34.5
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1695,1264,431,74.6,25.4
I00733,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1607,1055,552,65.7,34.3
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1647,1117,530,67.8,32.2
I00733,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2002,1310,692,65.4,34.6
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2822,2051,771,72.7,27.3
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1078,843,235,78.2,21.8
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,914,695,219,76,24
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1122,753,369,67.1,32.9
I00733,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1521,990,531,65.1,34.9
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1055,693,362,65.7,34.3
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1486,1063,423,71.5,28.5
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2057,1414,643,68.7,31.3
I00733,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1991,1399,592,70.3,29.7
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1412,980,432,69.4,30.6
I00733,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1218,841,377,69,31
