INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.0369,0.2656,15.2384,1,0.0001
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.0418,1625.665,0.0001,1,0.9931
I00699,1,AGE_GROUP_10,-0.712,0.556,1.6398,1,0.2004
I00699,1,AGE_GROUP_11,0.5249,0.3629,2.0921,1,0.1481
I00699,1,AGE_GROUP_12,0.8527,0.3526,5.8476,1,0.0156
I00699,1,AGE_GROUP_13,1.1033,0.337,10.7176,1,0.0011
I00699,1,AGE_GROUP_14,1.6649,0.3146,28.0037,1,0
I00699,1,AGE_GROUP_15,1.6551,0.3081,28.8507,1,0
I00699,1,AGE_GROUP_16,1.9542,0.3057,40.8727,1,0
I00699,1,AGE_GROUP_17,2.1102,0.3017,48.912,1,0
I00699,1,AGE_GROUP_18,2.354,0.3049,59.6179,1,0
I00699,1,AGE_GROUP_19,2.6225,0.3325,62.2072,1,0
I00699,1,AGE_GROUP_2,-0.2734,1.0332,0.07,1,0.7913
I00699,1,AGE_GROUP_20,2.9247,0.4225,47.9142,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-14.1307,1315.1469,0.0001,1,0.9914
I00699,1,AGE_GROUP_4,-14.3031,1028.8311,0.0002,1,0.9889
I00699,1,AGE_GROUP_5,-14.4662,643.7471,0.0005,1,0.9821
I00699,1,AGE_GROUP_6,-2.2098,1.029,4.6118,1,0.0318
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.0461,0.3984,0.0134,1,0.908
I00699,1,AGE_GROUP_9,-0.102,0.4286,0.0566,1,0.8119
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.6333,0.1686,14.1106,1,0.0002
I00699,1,CHARLSON_INDEX_3,1.2383,0.1578,61.6224,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.1928,0.1276,2.2818,1,0.1309
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.3774,0.2659,270.9794,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,0.101,0.1518,0.4432,1,0.5056
I00699,1,YEAR_INDEX_3,-0.1287,0.1549,0.6911,1,0.4058
