INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,ISLE OF WIGHT NHS TRUST,774,0,200,200,0,25.8,25.8
I00721,R1H,BARTS HEALTH NHS TRUST,3492,292,571,589,8.4,16.4,16.9
I00721,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2304,0,524,524,0,22.7,22.7
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1238,5,254,258,0.4,20.5,20.8
I00721,RA3,WESTON AREA HEALTH NHS TRUST,920,0,222,222,0,24.1,24.1
I00721,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,881,0,253,253,0,28.7,28.7
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1695,39,347,368,2.3,20.5,21.7
I00721,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1607,1,302,302,0.1,18.8,18.8
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1647,0,308,308,0,18.7,18.7
I00721,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2002,85,371,387,4.2,18.5,19.3
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2822,0,801,801,0,28.4,28.4
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1078,0,288,288,0,26.7,26.7
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,914,0,230,230,0,25.2,25.2
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1122,0,420,420,0,37.4,37.4
I00721,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1521,0,162,162,0,10.7,10.7
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1055,0,147,147,0,13.9,13.9
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1486,0,485,485,0,32.6,32.6
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2057,0,604,604,0,29.4,29.4
I00721,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1991,0,473,473,0,23.8,23.8
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1412,0,345,345,0,24.4,24.4
I00721,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1218,0,219,219,0,18,18
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1084,0,244,244,0,22.5,22.5
I00721,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1508,0,222,222,0,14.7,14.7
I00721,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2940,0,554,554,0,18.8,18.8
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,858,0,187,187,0,21.8,21.8
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,984,0,255,255,0,25.9,25.9
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1456,57,240,249,3.9,16.5,17.1
I00721,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1830,0,378,378,0,20.7,20.7
I00721,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1498,174,432,439,11.6,28.8,29.3
I00721,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1072,0,330,330,0,30.8,30.8
I00721,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1926,283,493,541,14.7,25.6,28.1
I00721,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2049,0,486,486,0,23.7,23.7
I00721,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2971,20,1084,1088,0.7,36.5,36.6
I00721,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1942,332,859,864,17.1,44.2,44.5
I00721,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1092,163,285,285,14.9,26.1,26.1
I00721,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2057,1,513,513,0,24.9,24.9
I00721,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1932,0,813,813,0,42.1,42.1
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2851,0,427,427,0,15,15
I00721,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1352,0,311,311,0,23,23
I00721,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1399,0,607,607,0,43.4,43.4
I00721,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1582,0,428,428,0,27.1,27.1
I00721,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,872,0,170,170,0,19.5,19.5
I00721,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1698,0,475,475,0,28,28
I00721,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1375,0,392,392,0,28.5,28.5
I00721,RGQ,IPSWICH HOSPITAL NHS TRUST,1761,0,397,397,0,22.5,22.5
I00721,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1264,0,333,333,0,26.3,26.3
I00721,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1992,0,418,418,0,21,21
I00721,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1801,0,334,334,0,18.5,18.5
I00721,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2806,397,747,786,14.1,26.6,28
I00721,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3300,205,704,709,6.2,21.3,21.5
I00721,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2823,0,776,776,0,27.5,27.5
I00721,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1955,0,770,770,0,39.4,39.4
I00721,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1393,1,535,535,0.1,38.4,38.4
I00721,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1903,0,562,562,0,29.5,29.5
I00721,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1248,0,247,247,0,19.8,19.8
I00721,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1908,0,527,527,0,27.6,27.6
I00721,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,351,0,83,83,0,23.6,23.6
I00721,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3910,0,1155,1155,0,29.5,29.5
I00721,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1248,0,237,237,0,19,19
I00721,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2127,0,393,393,0,18.5,18.5
I00721,RJN,EAST CHESHIRE NHS TRUST,859,0,145,145,0,16.9,16.9
I00721,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1333,0,424,424,0,31.8,31.8
I00721,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2560,0,869,869,0,33.9,33.9
I00721,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1224,0,200,200,0,16.3,16.3
I00721,RK9,PLYMOUTH HOSPITALS NHS TRUST,2177,1,390,390,0,17.9,17.9
I00721,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2637,0,280,280,0,10.6,10.6
I00721,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,287,0,0,0,0,0,0
I00721,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2074,0,612,612,0,29.5,29.5
I00721,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,2020,0,361,361,0,17.9,17.9
I00721,RLQ,WYE VALLEY NHS TRUST,984,0,235,235,0,23.9,23.9
I00721,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,889,0,243,243,0,27.3,27.3
I00721,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3035,1,492,493,0,16.2,16.2
I00721,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1754,0,130,130,0,7.4,7.4
I00721,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1587,0,778,778,0,49,49
I00721,RMC,BOLTON NHS FOUNDATION TRUST,1668,0,403,403,0,24.2,24.2
I00721,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1357,0,251,251,0,18.5,18.5
I00721,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1623,56,413,420,3.5,25.4,25.9
I00721,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1845,94,376,382,5.1,20.4,20.7
I00721,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1439,0,472,472,0,32.8,32.8
I00721,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2107,0,570,570,0,27.1,27.1
I00721,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1673,0,300,300,0,17.9,17.9
I00721,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1388,0,343,343,0,24.7,24.7
I00721,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1702,46,449,452,2.7,26.4,26.6
I00721,RNZ,SALISBURY NHS FOUNDATION TRUST,997,137,314,322,13.7,31.5,32.3
I00721,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2634,0,532,532,0,20.2,20.2
I00721,RPA,MEDWAY NHS FOUNDATION TRUST,1705,0,503,503,0,29.5,29.5
I00721,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1776,0,624,624,0,35.1,35.1
I00721,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1687,0,409,409,0,24.2,24.2
I00721,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,509,21,151,157,4.1,29.7,30.8
I00721,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,695,0,208,208,0,29.9,29.9
I00721,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1419,0,116,116,0,8.2,8.2
I00721,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,481,0,113,113,0,23.5,23.5
