INDICATOR_CODE,DIAGNOSIS GROUP,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED
I00699,1,R1H,BARTS HEALTH NHS TRUST,264,*,8.4602
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.1926
I00699,1,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.1319
I00699,1,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.4027
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,28,0,1.2476
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,*,0,0.0564
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,94,*,2.834
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0271
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,22,*,0.6487
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,23,*,0.7299
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,26,0,1.5804
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7,0,0.374
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.0218
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0258
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,20,*,0.5903
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,0.3141
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.2241
I00699,1,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,*,0,0.1538
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,11,0,0.1883
I00699,1,RC3,EALING HOSPITAL NHS TRUST,72,*,2.3298
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,35,*,0.6489
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,1.2802
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,*,*,0.765
I00699,1,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,*,0,0.0049
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,7,0,0.5263
I00699,1,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,27,*,1.4786
I00699,1,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,11,*,0.6069
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.0858
I00699,1,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,*,*,0.5234
I00699,1,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,10,*,0.5503
I00699,1,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,*,0.2855
I00699,1,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,*,0,0.0123
I00699,1,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,*,0.4564
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0151
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",77,*,2.4026
I00699,1,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,*,0.1004
I00699,1,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.354
I00699,1,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,39,*,0.878
I00699,1,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,12,*,0.5577
I00699,1,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8,*,0.4176
I00699,1,RGQ,IPSWICH HOSPITAL NHS TRUST,*,*,0.1064
I00699,1,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,8,0,0.2699
I00699,1,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,25,*,0.8153
I00699,1,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,*,0,0.4215
I00699,1,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,30,0,1.0129
I00699,1,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,55,*,2.1698
I00699,1,RHU,PORTSMOUTH HOSPITALS NHS TRUST,*,*,0.2796
I00699,1,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,22,0,0.3578
I00699,1,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,33,0,0.8798
I00699,1,RJ2,LEWISHAM AND GREENWICH NHS TRUST,54,0,1.8611
I00699,1,RJ6,CROYDON HEALTH SERVICES NHS TRUST,32,0,0.4078
I00699,1,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,76,*,1.8976
I00699,1,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,*,0,0.2112
I00699,1,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,*,0,0.2216
I00699,1,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,15,0,0.3581
I00699,1,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,*,0,0.1029
I00699,1,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,10,0,0.4453
I00699,1,RJN,EAST CHESHIRE NHS TRUST,*,0,0.3187
I00699,1,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,0,0.1285
I00699,1,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,40,*,1.136
I00699,1,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,*,0,0.2167
I00699,1,RK9,PLYMOUTH HOSPITALS NHS TRUST,10,*,1.4618
I00699,1,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,61,*,2.1276
I00699,1,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,16,*,1.4289
I00699,1,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,26,*,1.395
I00699,1,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,*,0,0.0558
I00699,1,RLQ,WYE VALLEY NHS TRUST,*,0,0.1483
I00699,1,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,*,0,0.0966
I00699,1,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.2199
I00699,1,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,18,*,0.7753
I00699,1,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,12,0,0.6981
I00699,1,RMC,BOLTON NHS FOUNDATION TRUST,19,*,0.7429
I00699,1,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,8,0,0.5575
I00699,1,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,8,*,0.7739
I00699,1,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11,0,0.0798
I00699,1,RN7,DARTFORD AND GRAVESHAM NHS TRUST,22,*,0.4989
I00699,1,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,14,0,0.4207
I00699,1,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,*,0,0.1224
I00699,1,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6,0,0.1719
I00699,1,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,*,*,0.2616
I00699,1,RNZ,SALISBURY NHS FOUNDATION TRUST,*,0,0.0461
I00699,1,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,11,0,0.3377
I00699,1,RPA,MEDWAY NHS FOUNDATION TRUST,14,0,0.7959
