INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0222,2,48372,2089,2043.7089,0.9330,1.0703,0.8952,1.1170
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9975,2,33711,1067,1069.6579,0.9082,1.0981,0.8886,1.1254
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9802,2,42672,1852,1889.3156,0.9304,1.0732,0.8946,1.1178
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0341,2,85937,3300,3191.1038,0.9462,1.0559,0.8980,1.1136
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0103,2,42236,1486,1470.8312,0.9214,1.0832,0.8923,1.1207
I00699,R1H,"BARTS HEALTH NHS TRUST",0.9082,2,155774,3715,4090.5765,0.9524,1.0493,0.8991,1.1122
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0661,2,61556,2245,2105.8882,0.9340,1.0692,0.8955,1.1168
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.0411,2,35903,1194,1146.8304,0.9112,1.0947,0.8895,1.1243
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1600,1,56369,2444,2106.9606,0.9340,1.0692,0.8955,1.1167
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0617,2,62235,1723,1622.8591,0.9250,1.0791,0.8933,1.1195
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9324,2,76754,1812,1943.2893,0.9314,1.0721,0.8948,1.1175
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",0.9973,2,71788,2473,2479.8017,0.9391,1.0636,0.8966,1.1154
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.9727,2,56411,1582,1626.4297,0.9251,1.0790,0.8933,1.1194
I00699,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",0.9873,2,43742,1292,1308.5851,0.9167,1.0884,0.8911,1.1223
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",1.0081,2,68130,2436,2416.4790,0.9383,1.0645,0.8964,1.1156
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.8539,3,74285,2296,2688.9306,0.9415,1.0610,0.8971,1.1147
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.8076,3,90302,1600,1981.0815,0.9320,1.0714,0.8950,1.1173
