INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.8927,2,32955,1030,1155.0000,0.9115,1.0944,0.8806,1.1356
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9695,2,44750,1650,1700.0000,0.9268,1.0772,0.8844,1.1307
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0141,2,83820,2980,2935.0000,0.9439,1.0583,0.8879,1.1263
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0345,2,48315,1625,1570.0000,0.9239,1.0804,0.8837,1.1316
I00699,R1H,"BARTS HEALTH NHS TRUST",0.9263,2,173410,3610,3895.0000,0.9512,1.0505,0.8891,1.1248
I00699,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0337,2,119520,3065,2965.0000,0.9442,1.0580,0.8879,1.1262
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0952,2,55810,2400,2195.0000,0.9353,1.0678,0.8862,1.1284
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.1719,1,60080,1725,1475.0000,0.9214,1.0831,0.8831,1.1323
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9542,2,93540,1850,1940.0000,0.9313,1.0722,0.8854,1.1295
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",1.0135,2,69580,2295,2265.0000,0.9363,1.0667,0.8864,1.1281
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1.0447,2,62000,1665,1590.0000,0.9243,1.0799,0.8838,1.1314
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",0.9718,2,70310,2260,2325.0000,0.9371,1.0658,0.8866,1.1279
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.8575,3,73415,2235,2605.0000,0.9406,1.0620,0.8872,1.1271
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.7723,3,97610,1660,2150.0000,0.9347,1.0684,0.8861,1.1285
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.9880,2,51225,1830,1850.0000,0.9297,1.0739,0.8850,1.1299
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1.0752,2,47845,1540,1430.0000,0.9203,1.0844,0.8829,1.1327
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.1322,1,78065,3075,2715.0000,0.9417,1.0607,0.8875,1.1268
I00699,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",0.9927,2,34915,1315,1325.0000,0.9172,1.0878,0.8821,1.1337
I00699,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.0708,2,57230,1535,1430.0000,0.9203,1.0844,0.8829,1.1327
I00699,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0961,2,72625,2830,2585.0000,0.9403,1.0623,0.8872,1.1271
I00699,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1.1289,2,28940,1140,1010.0000,0.9057,1.1010,0.8790,1.1377
I00699,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0.9017,2,67750,2230,2475.0000,0.9390,1.0637,0.8870,1.1275
I00699,RJN,"EAST CHESHIRE NHS TRUST",1.1577,1,19635,940,815.0000,0.8952,1.1131,0.8759,1.1417
I00699,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",1.0687,2,108850,4085,3820.0000,0.9508,1.0510,0.8890,1.1249
I00699,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",1.0690,2,90650,2780,2600.0000,0.9405,1.0621,0.8872,1.1271
I00699,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",1.0752,2,110015,4400,4090.0000,0.9524,1.0493,0.8893,1.1245
I00699,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",0.9743,2,63990,2670,2740.0000,0.9420,1.0605,0.8875,1.1267
I00699,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",0.9155,2,61965,1810,1975.0000,0.9319,1.0715,0.8855,1.1293
I00699,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",1.0095,2,122025,3740,3705.0000,0.9500,1.0518,0.8889,1.1250
I00699,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1.0596,2,32585,1480,1395.0000,0.9193,1.0855,0.8826,1.1330
I00699,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1.1593,1,23505,1160,1000.0000,0.9051,1.1016,0.8789,1.1378
I00699,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0800,2,92955,3105,2875.0000,0.9433,1.0590,0.8878,1.1264
I00699,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",0.9891,2,61590,1875,1895.0000,0.9305,1.0730,0.8852,1.1297
I00699,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",0.7595,3,95685,1515,1995.0000,0.9323,1.0711,0.8856,1.1292
I00699,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0313,2,68725,2245,2175.0000,0.9351,1.0680,0.8862,1.1284
I00699,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",0.9670,2,28230,980,1015.0000,0.9057,1.1009,0.8790,1.1376
I00699,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0.7718,3,44980,530,690.0000,0.8864,1.1234,0.8731,1.1453
I00699,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",1.0430,2,84070,3405,3265.0000,0.9468,1.0553,0.8884,1.1257
