INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,0.8849,2,29500,935,1055,0.9076,1.0988,0.8803,1.1359
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0.9685,2,40610,1540,1590,0.9243,1.0799,0.8847,1.1304
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0082,2,76775,2745,2725,0.9418,1.0606,0.8884,1.1257
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1.052,2,43365,1515,1440,0.9206,1.0841,0.8838,1.1315
I00699,R1H,BARTS HEALTH NHS TRUST,0.9349,2,157890,3320,3550,0.949,1.0529,0.8896,1.1241
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1.037,2,107905,2745,2650,0.941,1.0615,0.8882,1.1259
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1.0983,2,51295,2220,2020,0.9326,1.0707,0.8865,1.128
I00699,RMC,BOLTON NHS FOUNDATION TRUST,1.1794,1,54890,1525,1295,0.9163,1.0889,0.8827,1.1329
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9819,2,83825,1715,1745,0.9276,1.0762,0.8854,1.1294
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,1.0221,2,64960,2130,2085,0.9337,1.0695,0.8867,1.1277
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1.1001,2,56965,1620,1470,0.9214,1.0832,0.8839,1.1313
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,0.9834,2,64550,2195,2230,0.9359,1.0672,0.8872,1.1272
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.8655,3,66495,2105,2430,0.9385,1.0643,0.8877,1.1265
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0.7882,3,87780,1545,1960,0.9317,1.0718,0.8863,1.1283
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0.9628,2,47360,1645,1710,0.9269,1.077,0.8853,1.1296
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1.0681,2,43540,1380,1290,0.9162,1.089,0.8827,1.1329
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1.1392,1,70110,2880,2530,0.9397,1.063,0.8879,1.1262
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1.0093,2,31695,1185,1175,0.9123,1.0934,0.8816,1.1343
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1.0717,2,53030,1405,1310,0.9168,1.0884,0.8828,1.1328
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1.1031,2,66595,2630,2385,0.9379,1.0649,0.8876,1.1266
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1.1301,2,26430,1085,960,0.9032,1.1039,0.8791,1.1376
I00699,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0.9003,2,61135,2065,2295,0.9367,1.0662,0.8874,1.1269
I00699,RJN,EAST CHESHIRE NHS TRUST,1.1528,1,17305,865,750,0.891,1.118,0.8753,1.1424
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1.0636,2,98610,3710,3490,0.9485,1.0534,0.8895,1.1242
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1.0786,2,83150,2615,2425,0.9384,1.0643,0.8877,1.1265
