INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,RCF22,AIREDALE GENERAL HOSPITAL,0.8849,2,29500,935,1055,0.9076,1.0988,0.8558,1.1686,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK02,ASHFORD HOSPITAL,*,*,1045,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW15 3AA
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK55,ASHTEAD HOSPITAL,*,*,*,0,*,*,*,*,*,UNDETERMINED,MULTIPLE,TRUST,KT21 2SB
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK48,RUNNYMEDE HOSPITAL,*,*,40,*,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT16 0RQ
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK01,ST PETER'S HOSPITAL,0.9693,2,39475,1540,1590,0.9243,1.08,0.8592,1.1639,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,KT16 0PZ
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK49,WOKING NUFFIELD HOSPITAL,*,*,50,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU21 4BY
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4HW,HAROLD WOOD POLYCLINIC,*,*,145,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT SPECIALIST,ONE,PRIVATE,RM3 0AR
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4DG,KING GEORGE HOSPITAL,0.9714,2,15725,675,695,0.8869,1.1228,0.8507,1.1755,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG3 8YB
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4QH,QUEEN'S HOSPITAL,1.0213,2,60705,2070,2030,0.9328,1.0705,0.8607,1.1619,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RM7 0AG
