INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0014
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,11,*,1.1542
I00699,1,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,*,0,0.4944
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",64,*,2.7071
I00699,1,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,0,0.01
I00699,1,R1H,BARTS HEALTH NHS TRUST,120,*,4.8561
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11,*,0.967
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,*,0,0.0053
I00699,1,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,10,*,0.6886
I00699,1,RMC,BOLTON NHS FOUNDATION TRUST,14,0,0.4582
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,27,*,1.606
I00699,1,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,24,0,1.3503
I00699,1,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,*,0,0.1331
I00699,1,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,*,0,0.1266
I00699,1,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,8,*,0.5851
I00699,1,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16,0,0.6173
I00699,1,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,46,*,1.2129
I00699,1,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.1105
