INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0.9882,2,51323,2082,2106.9617,0.934,1.0692,0.892,1.1211
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,0.9862,2,33196,1053,1067.6849,0.9081,1.0982,0.8853,1.1296
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0.9478,2,42355,1757,1853.8512,0.9298,1.0739,0.891,1.1223
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0232,2,86832,3294,3219.3688,0.9464,1.0557,0.8945,1.118
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1.0147,2,42742,1505,1483.1553,0.9217,1.0829,0.889,1.1248
I00699,R1H,BARTS HEALTH NHS TRUST,0.9105,2,157921,3777,4148.2418,0.9527,1.0489,0.8955,1.1167
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1.0826,2,64972,2269,2095.9659,0.9339,1.0694,0.8919,1.1212
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,1.026,2,36364,1194,1163.7774,0.9119,1.0939,0.8864,1.1282
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1.1453,1,56558,2445,2134.8877,0.9345,1.0687,0.8921,1.121
I00699,RMC,BOLTON NHS FOUNDATION TRUST,1.0523,2,62034,1726,1640.2743,0.9254,1.0787,0.89,1.1236
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9305,2,81871,1846,1983.9547,0.9321,1.0713,0.8915,1.1217
I00699,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,0.9977,2,71196,2430,2435.6566,0.9386,1.0642,0.8929,1.1199
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1.0049,2,57015,1658,1649.9684,0.9256,1.0784,0.89,1.1236
I00699,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,0.982,2,43798,1326,1350.3529,0.918,1.087,0.8881,1.126
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,1.0064,2,68702,2507,2490.9947,0.9392,1.0635,0.8931,1.1197
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.8651,3,75065,2338,2702.5907,0.9416,1.0609,0.8935,1.1191
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0.8149,3,91076,1621,1989.2962,0.9321,1.0712,0.8915,1.1216
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1.019,2,50477,1946,1909.6674,0.9308,1.0728,0.8912,1.122
I00699,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,0.9634,2,56572,1976,2051.0466,0.9332,1.0701,0.8918,1.1214
