INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.2847,0.3038,17.882,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.2754,1952.3723,0.0001,1,0.9942
I00699,1,AGE_GROUP_2,-14.3389,1400.8676,0.0001,1,0.9918
I00699,1,AGE_GROUP_3,-14.2682,1289.5358,0.0001,1,0.9912
I00699,1,AGE_GROUP_4,-14.4857,1272.9046,0.0001,1,0.9909
I00699,1,AGE_GROUP_5,-14.6172,751.9602,0.0004,1,0.9845
I00699,1,AGE_GROUP_6,-1.9137,1.0371,3.4048,1,0.065
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.0046,0.4314,0.0001,1,0.9916
I00699,1,AGE_GROUP_9,0.4251,0.3983,1.1394,1,0.2858
I00699,1,AGE_GROUP_10,-0.4042,0.5253,0.5922,1,0.4416
I00699,1,AGE_GROUP_11,0.7139,0.368,3.764,1,0.0524
I00699,1,AGE_GROUP_12,1.0993,0.3617,9.2358,1,0.0024
I00699,1,AGE_GROUP_13,1.0598,0.369,8.2495,1,0.0041
I00699,1,AGE_GROUP_14,1.528,0.3529,18.7504,1,0
I00699,1,AGE_GROUP_15,1.5945,0.3505,20.699,1,0
I00699,1,AGE_GROUP_16,2.0742,0.3344,38.4677,1,0
I00699,1,AGE_GROUP_17,1.8465,0.3393,29.6099,1,0
I00699,1,AGE_GROUP_18,2.2907,0.3421,44.8273,1,0
I00699,1,AGE_GROUP_19,2.9546,0.3611,66.9416,1,0
I00699,1,AGE_GROUP_20,3.315,0.445,55.501,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.5921,0.1792,10.9115,1,0.001
I00699,1,CHARLSON_INDEX_3,1.1788,0.1653,50.8349,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.2004,0.1352,2.1975,1,0.1382
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.3671,0.2984,214.2172,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.0803,0.1638,0.2401,1,0.6241
I00699,1,YEAR_INDEX_3,0.0827,0.1556,0.2824,1,0.5951
I00699,2,ADMIMETH_1,-0.579,0.0477,147.3464,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.8937,0.1783,476.7849,1,0
I00699,2,AGE_GROUP_2,-3.307,0.1707,375.1086,1,0
I00699,2,AGE_GROUP_3,-3.0732,0.2202,194.7812,1,0
I00699,2,AGE_GROUP_4,-2.3606,0.2165,118.8599,1,0
I00699,2,AGE_GROUP_5,-2.5725,0.1916,180.2996,1,0
I00699,2,AGE_GROUP_6,-2.4758,0.1588,243.1418,1,0
I00699,2,AGE_GROUP_7,-2.3756,0.1414,282.3698,1,0
I00699,2,AGE_GROUP_8,-1.8634,0.0975,365.6217,1,0
I00699,2,AGE_GROUP_9,-1.8496,0.0911,412.3249,1,0
I00699,2,AGE_GROUP_10,-1.4466,0.0649,496.4651,1,0
I00699,2,AGE_GROUP_11,-1.215,0.0481,638.5519,1,0
I00699,2,AGE_GROUP_12,-1.0456,0.0401,679.1047,1,0
I00699,2,AGE_GROUP_13,-0.843,0.0343,603.7221,1,0
I00699,2,AGE_GROUP_14,-0.6941,0.0296,548.1591,1,0
I00699,2,AGE_GROUP_15,-0.447,0.0251,316.8563,1,0
I00699,2,AGE_GROUP_16,-0.231,0.0238,94.4047,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.467,0.0214,476.7608,1,0
I00699,2,AGE_GROUP_19,0.7809,0.0217,1290.1096,1,0
I00699,2,AGE_GROUP_20,1.1276,0.023,2400.4079,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.0742,0.0259,8.1754,1,0.0042
I00699,2,CHARLSON_INDEX_3,0.5166,0.0179,831.3475,1,0
I00699,2,GENDER_1,-0.0337,0.0122,7.5967,1,0.0058
I00699,2,GENDER_2,0,,,0,
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.6251,0.0245,4387.7577,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,0.0408,0.0143,8.1739,1,0.0042
I00699,2,YEAR_INDEX_3,0.0596,0.015,15.6941,1,0.0001
I00699,3,ADMIMETH_1,-0.4648,0.2828,2.7024,1,0.1002
I00699,3,ADMIMETH_2,0,,,0,
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,AGE_GROUP_1,0.8823,1.2257,0.5181,1,0.4716
I00699,3,AGE_GROUP_2,0,,,0,
I00699,3,AGE_GROUP_3,0.0828,1.2253,0.0046,1,0.9461
I00699,3,AGE_GROUP_4,1.3844,1.2264,1.2742,1,0.259
I00699,3,AGE_GROUP_5,-9.5891,323.9676,0.0009,1,0.9764
I00699,3,AGE_GROUP_6,-9.6627,326.8292,0.0009,1,0.9764
I00699,3,AGE_GROUP_7,2.578,1.0041,6.5921,1,0.0102
I00699,3,AGE_GROUP_8,3.1497,0.8709,13.0795,1,0.0003
I00699,3,AGE_GROUP_9,2.4031,1.0041,5.7284,1,0.0167
I00699,3,AGE_GROUP_10,3.605,0.7869,20.9884,1,0
I00699,3,AGE_GROUP_11,3.2921,0.7958,17.1153,1,0
I00699,3,AGE_GROUP_12,3.7122,0.7532,24.2887,1,0
I00699,3,AGE_GROUP_13,4.0219,0.7399,29.5452,1,0
I00699,3,AGE_GROUP_14,4.098,0.7348,31.1013,1,0
I00699,3,AGE_GROUP_15,4.1853,0.7261,33.223,1,0
I00699,3,AGE_GROUP_16,4.3945,0.7235,36.8895,1,0
I00699,3,AGE_GROUP_17,4.6568,0.7205,41.7733,1,0
I00699,3,AGE_GROUP_18,5.006,0.7187,48.5142,1,0
I00699,3,AGE_GROUP_19,5.228,0.7188,52.9058,1,0
I00699,3,AGE_GROUP_20,5.7431,0.7194,63.7255,1,0
I00699,3,AGE_GROUP_21,0,,,0,
I00699,3,CHARLSON_INDEX_1,0,,,0,
I00699,3,CHARLSON_INDEX_2,0.1932,0.1609,1.4408,1,0.23
I00699,3,CHARLSON_INDEX_3,0.8457,0.1136,55.4286,1,0
I00699,3,GENDER_1,0,,,0,
I00699,3,GENDER_2,0.003,0.0823,0.0013,1,0.9708
I00699,3,GENDER_3,0,,,0,
I00699,3,Intercept,-7.3846,0.7108,107.9353,1,0
I00699,3,YEAR_INDEX_1,0,,,0,
I00699,3,YEAR_INDEX_2,0.2257,0.0981,5.2988,1,0.0213
I00699,3,YEAR_INDEX_3,0.1983,0.1007,3.8778,1,0.0489
I00699,4,ADMIMETH_1,-1.5176,0.3249,21.8183,1,0
I00699,4,ADMIMETH_2,0,,,0,
I00699,4,ADMIMETH_3,0,,,0,
I00699,4,AGE_GROUP_1,0,,,0,
I00699,4,AGE_GROUP_2,-13.2066,506.8997,0.0007,1,0.9792
I00699,4,AGE_GROUP_3,-13.2828,791.8622,0.0003,1,0.9866
I00699,4,AGE_GROUP_4,0.6465,1.1018,0.3443,1,0.5574
I00699,4,AGE_GROUP_5,1.617,0.7388,4.7901,1,0.0286
I00699,4,AGE_GROUP_6,-13.2394,885.6289,0.0002,1,0.9881
I00699,4,AGE_GROUP_7,1.0274,0.8417,1.4899,1,0.2222
I00699,4,AGE_GROUP_8,0.9874,0.8436,1.3699,1,0.2418
I00699,4,AGE_GROUP_9,1.7316,0.6424,7.2666,1,0.007
I00699,4,AGE_GROUP_10,1.7525,0.5986,8.571,1,0.0034
I00699,4,AGE_GROUP_11,1.8457,0.5542,11.0922,1,0.0009
I00699,4,AGE_GROUP_12,1.6195,0.5424,8.9137,1,0.0028
I00699,4,AGE_GROUP_13,2.3533,0.5024,21.9385,1,0
I00699,4,AGE_GROUP_14,2.63,0.4914,28.6403,1,0
