INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0759,2,48110,2056,1910.9393,0.9308,1.0727,0.8927,1.1202
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9342,2,34704,995,1065.0927,0.9080,1.0984,0.8866,1.1279
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9440,2,41008,1637,1734.0226,0.9274,1.0765,0.8919,1.1213
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0421,2,84025,3184,3055.3058,0.9450,1.0572,0.8957,1.1165
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0197,2,42754,1482,1453.3222,0.9209,1.0837,0.8902,1.1233
I00699,R1H,"BARTS HEALTH NHS TRUST",0.8915,3,155810,3753,4209.9678,0.9530,1.0485,0.8971,1.1147
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.9914,2,54390,2036,2053.6522,0.9332,1.0701,0.8932,1.1196
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.0487,2,32967,1218,1161.3935,0.9118,1.0940,0.8877,1.1265
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1431,1,56960,2360,2064.5186,0.9334,1.0699,0.8933,1.1195
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0166,2,64883,1692,1664.3586,0.9260,1.0781,0.8915,1.1217
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9784,2,75180,1832,1872.4008,0.9301,1.0735,0.8925,1.1204
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",0.9360,2,70469,2351,2511.8104,0.9395,1.0632,0.8946,1.1179
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.9146,2,58084,1507,1647.6374,0.9256,1.0785,0.8914,1.1218
I00699,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",0.9698,2,41941,1354,1396.2352,0.9193,1.0855,0.8898,1.1239
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",1.1202,1,68899,2346,2094.1778,0.9338,1.0694,0.8934,1.1194
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.7922,3,81197,2150,2713.9927,0.9417,1.0607,0.8950,1.1173
I00699,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0787,2,103941,1715,1589.8391,0.9243,1.0800,0.8911,1.1222
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.8695,3,88535,1548,1780.4115,0.9284,1.0754,0.8921,1.1210
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.9677,2,48882,1727,1784.6847,0.9284,1.0753,0.8921,1.1209
I00699,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",0.9737,2,57057,2004,2058.0274,0.9333,1.0700,0.8932,1.1195
I00699,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",1.0853,2,57572,2247,2070.4360,0.9335,1.0698,0.8933,1.1195
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1.0730,2,47961,1497,1395.1661,0.9193,1.0855,0.8898,1.1239
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.0474,2,82292,3063,2924.3095,0.9438,1.0585,0.8954,1.1168
I00699,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",0.9131,2,45040,1248,1366.7394,0.9185,1.0864,0.8896,1.1241
I00699,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.0497,2,57956,1474,1404.1618,0.9196,1.0852,0.8899,1.1238
I00699,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0109,2,87715,3192,3157.6251,0.9459,1.0562,0.8958,1.1163
I00699,RP5,"DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST",1.0048,2,77052,2777,2763.6714,0.9422,1.0602,0.8951,1.1171
I00699,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1.1458,1,31678,1169,1020.2627,0.9060,1.1006,0.8860,1.1287
I00699,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",1.0654,2,68652,2337,2193.4928,0.9353,1.0678,0.8937,1.1190
I00699,RJN,"EAST CHESHIRE NHS TRUST",1.1093,2,20517,937,844.6756,0.8970,1.1110,0.8832,1.1323
I00699,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",0.9691,2,110263,3991,4118.3159,0.9525,1.0491,0.8970,1.1148
