INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,ISLE OF WIGHT NHS TRUST,901,0,218,218,0,24.2,24.2
I00721,R1H,BARTS HEALTH NHS TRUST,3666,288,597,615,7.9,16.3,16.8
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1290,0,178,178,0,13.8,13.8
I00721,RA3,WESTON AREA HEALTH NHS TRUST,960,0,186,186,0,19.4,19.4
I00721,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,925,0,253,253,0,27.4,27.4
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1772,31,324,343,1.7,18.3,19.4
I00721,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1589,1,269,269,0.1,16.9,16.9
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1855,0,307,307,0,16.5,16.5
I00721,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2134,92,402,408,4.3,18.8,19.1
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1182,0,291,291,0,24.6,24.6
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,829,0,299,299,0,36.1,36.1
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,993,0,228,228,0,23,23
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1322,0,365,365,0,27.6,27.6
I00721,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1575,0,0,0,0,0,0
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1051,0,123,123,0,11.7,11.7
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1459,0,395,395,0,27.1,27.1
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2215,0,479,479,0,21.6,21.6
I00721,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2141,0,476,476,0,22.2,22.2
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1434,0,227,227,0,15.8,15.8
I00721,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1315,0,318,318,0,24.2,24.2
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1177,0,257,257,0,21.8,21.8
I00721,RC3,EALING HOSPITAL NHS TRUST,658,0,130,130,0,19.8,19.8
I00721,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1554,0,203,203,0,13.1,13.1
I00721,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,3030,0,594,594,0,19.6,19.6
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,850,0,133,133,0,15.6,15.6
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,1019,0,244,244,0,23.9,23.9
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1571,67,206,228,4.3,13.1,14.5
I00721,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1929,0,340,340,0,17.6,17.6
I00721,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1518,185,394,403,12.2,26,26.5
I00721,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1443,26,510,516,1.8,35.3,35.8
I00721,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1168,0,344,344,0,29.5,29.5
I00721,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1947,294,437,458,15.1,22.4,23.5
I00721,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2189,0,566,566,0,25.9,25.9
I00721,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,1618,1,492,492,0.1,30.4,30.4
I00721,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2075,335,684,702,16.1,33,33.8
I00721,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1112,134,300,300,12.1,27,27
I00721,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2143,2,382,383,0.1,17.8,17.9
I00721,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1988,0,805,805,0,40.5,40.5
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3099,0,447,447,0,14.4,14.4
I00721,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1446,0,252,252,0,17.4,17.4
I00721,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1472,0,439,439,0,29.8,29.8
I00721,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1719,0,418,418,0,24.3,24.3
I00721,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,958,0,116,116,0,12.1,12.1
