INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,R1F,ISLE OF WIGHT NHS TRUST,796,538,258,67.5879,32.4121
I00733,R1H,BARTS HEALTH NHS TRUST,3439,2716,723,78.9764,21.0236
I00733,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2378,1802,576,75.778,24.222
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1240,804,436,64.8387,35.1613
I00733,RA3,WESTON AREA HEALTH NHS TRUST,917,626,291,68.2661,31.7339
I00733,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,924,602,322,65.1515,34.8485
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1685,1240,445,73.5905,26.4095
I00733,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1632,1078,554,66.0539,33.9461
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1657,1119,538,67.5317,32.4683
I00733,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2001,1330,671,66.4668,33.5332
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2727,2000,727,73.3407,26.6593
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1208,948,260,78.4768,21.5232
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,937,728,209,77.6948,22.3052
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1100,768,332,69.8182,30.1818
I00733,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1526,973,553,63.7615,36.2385
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1099,707,392,64.3312,35.6688
