INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,R1F,ISLE OF WIGHT NHS TRUST,*,0,0.2863
I00699,1,R1H,BARTS HEALTH NHS TRUST,160,*,5.7307
I00699,1,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,161,*,5.6654
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.4359
I00699,1,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.0013
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,17,*,0.3259
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,6,0,0.247
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,33,*,0.5476
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0321
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,45,*,2.8124
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,34,*,1.0645
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,30,0,0.862
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,*,0,0.1605
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,6,0,0.5644
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0129
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,9,0,0.13
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.0528
I00699,1,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,*,0,0.3637
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.037
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,6,0,0.0962
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,17,0,0.5086
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,0.556
I00699,1,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.1035
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,*,*,0.4005
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0132
I00699,1,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,0.26
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,*,0.0196
I00699,1,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,14,*,1.2551
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.0758
I00699,1,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,*,0,0.0106
I00699,1,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,33,0,1.3888
I00699,1,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,6,0,0.2519
I00699,1,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,*,0,0.4996
I00699,1,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,0.7863
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0087
