INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,ENGLAND,5.0112,19
I01965,RCF,AIREDALE NHS FOUNDATION TRUST,4.2376,13
I01965,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,4.1282,11
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.4364,13
I01965,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4.9061,19
I01965,R1H,BARTS HEALTH NHS TRUST,6.6391,19
I01965,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.8048,19
I01965,RC1,BEDFORD HOSPITAL NHS TRUST,5.7625,19
I01965,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6.2566,13
I01965,RMC,BOLTON NHS FOUNDATION TRUST,4.9627,19
I01965,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,4.6514,19
I01965,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,5.0188,19
I01965,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,4.9336,19
I01965,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,4.7678,19
I01965,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3.6898,19
I01965,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,4.4329,19
I01965,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5.0837,19
I01965,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,3.1231,19
I01965,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,4.4869,13
I01965,RJ6,CROYDON HEALTH SERVICES NHS TRUST,3.6595,19
I01965,RN7,DARTFORD AND GRAVESHAM NHS TRUST,2.8433,19
I01965,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,4.368,19
I01965,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3.088,19
I01965,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4.4423,19
I01965,RJN,EAST CHESHIRE NHS TRUST,5.1332,12
I01965,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,4.2199,19
I01965,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,5.9215,13
I01965,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,5.0825,19
I01965,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,5.2402,19
I01965,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,5.8219,19
I01965,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3.5688,19
I01965,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,4.8912,13
I01965,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,4.2925,19
I01965,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,4.139,19
I01965,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,3.342,13
I01965,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,5.908,19
I01965,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,3.8691,19
I01965,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3.5901,12
I01965,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,4.6452,19
I01965,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,6.4087,19
I01965,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,6.9314,19
I01965,R1F,ISLE OF WIGHT NHS TRUST,5.6887,13
I01965,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4.7891,19
I01965,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,5.9883,19
I01965,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,5.2327,19
I01965,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,4.4245,19
I01965,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,5.8249,19
I01965,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,4.2967,19
I01965,RJ2,LEWISHAM AND GREENWICH NHS TRUST,3.8544,19
I01965,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4.1932,19
