INDICATOR_CODE,DIAGNOSIS GROUP,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED
I00699,1,R1F,ISLE OF WIGHT NHS TRUST,*,0,0.2632
I00699,1,R1H,BARTS HEALTH NHS TRUST,168,6,6.0489
I00699,1,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,179,*,7.2995
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6,0,0.4744
I00699,1,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.0027
I00699,1,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.0027
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,18,*,1.024
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,*,0,0.2363
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,45,*,1.0946
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0605
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,43,*,1.7319
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,39,*,1.6986
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33,0,0.9645
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,*,0,0.112
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,6,0,0.589
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0137
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,8,0,0.1302
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.0665
I00699,1,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,*,0,0.3914
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.3348
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,6,0,0.0962
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,19,0,0.6533
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,0.5798
I00699,1,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.1141
