INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,R1F,ISLE OF WIGHT NHS TRUST,874,637,237,72.9,27.1
I00733,R1H,BARTS HEALTH NHS TRUST,3568,2867,701,80.4,19.6
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1267,842,425,66.5,33.5
I00733,RA3,WESTON AREA HEALTH NHS TRUST,973,668,305,68.7,31.3
I00733,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,965,627,338,65,35
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1754,1359,395,77.5,22.5
I00733,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1582,1058,524,66.9,33.1
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1842,1261,581,68.5,31.5
I00733,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2139,1413,726,66.1,33.9
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1171,825,346,70.5,29.5
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,854,666,188,78,22
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,937,716,221,76.4,23.6
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1276,864,412,67.7,32.3
I00733,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1527,1007,520,65.9,34.1
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1084,738,346,68.1,31.9
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1473,1087,386,73.8,26.2
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2204,1575,629,71.5,28.5
I00733,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2052,1424,628,69.4,30.6
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1406,1036,370,73.7,26.3
I00733,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1281,913,368,71.3,28.7
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1148,835,313,72.7,27.3
I00733,RC3,EALING HOSPITAL NHS TRUST,652,496,156,76.1,23.9
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1527,1108,419,72.6,27.4
I00733,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2999,2105,894,70.2,29.8
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,847,627,220,74,26
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,997,686,311,68.8,31.2
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1565,1174,391,75,25
I00733,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1896,1381,515,72.8,27.2
I00733,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1513,1144,369,75.6,24.4
I00733,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1462,1069,393,73.1,26.9
I00733,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1143,840,303,73.5,26.5
