INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0002,2,53679,2190,2189.6073,0.9353,1.0678,0.8911,1.1223
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9408,2,32537,1011,1074.5746,0.9084,1.0979,0.8843,1.1309
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9453,2,42039,1734,1834.3714,0.9294,1.0743,0.8898,1.1239
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0246,2,86815,3310,3230.6498,0.9465,1.0556,0.8933,1.1195
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0015,2,43239,1522,1519.7211,0.9226,1.0818,0.8881,1.1260
I00699,R1H,"BARTS HEALTH NHS TRUST",0.8993,2,161833,3826,4254.2714,0.9533,1.0483,0.8944,1.1181
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0424,2,69039,2271,2178.6599,0.9351,1.0680,0.8910,1.1223
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.0134,2,36539,1227,1210.7867,0.9135,1.0920,0.8857,1.1290
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1125,2,56004,2407,2163.6126,0.9349,1.0682,0.8910,1.1224
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0865,2,60918,1782,1640.1074,0.9254,1.0787,0.8888,1.1251
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9375,2,87226,1955,2085.4235,0.9337,1.0695,0.8907,1.1227
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",0.9710,2,70740,2378,2449.0238,0.9387,1.0640,0.8918,1.1214
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1.0160,2,57412,1684,1657.5104,0.9258,1.0783,0.8889,1.1250
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",0.9898,2,69415,2571,2597.4762,0.9405,1.0621,0.8921,1.1209
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.8687,3,75061,2355,2711.0341,0.9417,1.0608,0.8924,1.1206
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.7941,3,92147,1607,2023.6227,0.9327,1.0706,0.8905,1.1230
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.9923,2,50843,1944,1959.0108,0.9316,1.0718,0.8903,1.1233
I00699,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",0.9930,2,56653,2030,2044.3135,0.9330,1.0702,0.8906,1.1229
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1.0364,2,47032,1462,1410.6710,0.9197,1.0850,0.8874,1.1269
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.0611,2,81834,3094,2915.7289,0.9437,1.0586,0.8928,1.1201
I00699,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",0.9360,2,42528,1345,1437.0140,0.9205,1.0842,0.8876,1.1267
I00699,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.0871,2,55792,1631,1500.3181,0.9221,1.0824,0.8880,1.1261
I00699,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0302,2,73594,2820,2737.4428,0.9420,1.0605,0.8924,1.1205
