INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9035,2,33345,985,1090.0000,0.9091,1.0971,0.8775,1.1396
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9804,2,44750,1660,1690.0000,0.9265,1.0774,0.8818,1.1340
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0028,2,84610,2925,2920.0000,0.9438,1.0585,0.8852,1.1297
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0.9946,2,48195,1560,1570.0000,0.9238,1.0805,0.8812,1.1348
I00699,R1H,"BARTS HEALTH NHS TRUST",0.9276,2,176310,3685,3975.0000,0.9517,1.0500,0.8865,1.1280
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0250,2,78410,2120,2070.0000,0.9335,1.0698,0.8833,1.1322
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.1331,2,36735,1290,1140.0000,0.9110,1.0949,0.8780,1.1389
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1131,2,55575,2325,2085.0000,0.9337,1.0695,0.8833,1.1321
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.1594,1,60630,1735,1495.0000,0.9220,1.0825,0.8808,1.1354
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9498,2,97660,1885,1985.0000,0.9321,1.0713,0.8830,1.1325
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",0.9777,2,69970,2285,2335.0000,0.9373,1.0656,0.8840,1.1312
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1.0005,2,64295,1580,1580.0000,0.9240,1.0803,0.8812,1.1348
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",0.9744,2,71110,2220,2280.0000,0.9365,1.0664,0.8839,1.1314
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.8429,3,76655,2180,2590.0000,0.9404,1.0622,0.8846,1.1304
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.7442,3,96335,1560,2100.0000,0.9339,1.0693,0.8834,1.1320
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1.0029,2,51665,1795,1790.0000,0.9286,1.0752,0.8822,1.1335
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1.0851,2,48820,1505,1385.0000,0.9190,1.0858,0.8801,1.1363
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.1337,1,82365,3040,2680.0000,0.9414,1.0611,0.8848,1.1302
