INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",REM71,"LEIGHTON HOSPITAL",*,*,20,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,CW1 4QJ
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",REM21,"UNIVERSITY HOSPITAL AINTREE",0.9352,2,62555,2005,2140.0000,0.9346,1.0686,0.8553,1.1692,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,L9 7AL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",REM30,"UNIVERSITY HOSPITAL AINTREE OUTPOSTED NEPHROLOGY CLINIC",*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,PR8 6PN
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",REM26,"WATERLOO DAY HOSPITAL",*,*,25,0,*,*,*,*,*,UNSPECIFIED,ONE,TRUST,L22 3XR
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",RCF22,"AIREDALE GENERAL HOSPITAL",0.9233,2,33230,1000,1080.0000,0.9087,1.0976,0.8506,1.1757,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK02,"ASHFORD HOSPITAL",*,*,1580,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW15 3AA
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK55,"ASHTEAD HOSPITAL",*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,KT21 2SB
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK48,"RUNNYMEDE HOSPITAL",*,*,90,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT16 0RQ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK01,"ST PETER'S HOSPITAL",1.0049,2,40095,1670,1660.0000,0.9259,1.0782,0.8539,1.1711,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,KT16 0PZ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK49,"WOKING NUFFIELD HOSPITAL",*,*,25,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU21 4BY
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",.,"NOT PROVIDED",*,*,15,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
