INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,RCF,"AIREDALE NHS FOUNDATION TRUST",*,0,0.5092
I00699,1,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",9,*,0.6112
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",68,*,2.8731
I00699,1,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0331
I00699,1,R1H,"BARTS HEALTH NHS TRUST",146,*,5.1862
I00699,1,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",7,0,0.2690
I00699,1,RC1,"BEDFORD HOSPITAL NHS TRUST",*,*,0.1815
I00699,1,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6,0,0.3482
I00699,1,RMC,"BOLTON NHS FOUNDATION TRUST",15,0,0.6903
I00699,1,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",33,0,1.2751
I00699,1,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",17,0,0.3703
I00699,1,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",11,*,0.5692
I00699,1,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",*,0,0.1108
I00699,1,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",14,0,0.4882
I00699,1,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",22,0,0.5508
I00699,1,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",51,*,0.5471
I00699,1,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",28,0,0.5840
I00699,1,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",*,0,0.2167
I00699,1,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",*,0,0.1810
I00699,1,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",*,0,0.3990
I00699,1,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",*,0,0.1295
I00699,1,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",7,0,0.1898
I00699,1,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",23,*,0.8293
I00699,1,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",27,*,0.8607
