INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.4815,0.3953,14.046,1,0.0002
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,ADMISSION_MONTH_1,0.0741,0.3866,0.0367,1,0.848
I00699,1,ADMISSION_MONTH_2,0.0556,0.3914,0.0202,1,0.887
I00699,1,ADMISSION_MONTH_3,0.2806,0.3576,0.6158,1,0.4326
I00699,1,ADMISSION_MONTH_4,0.3174,0.3553,0.7981,1,0.3717
I00699,1,ADMISSION_MONTH_5,0.0081,0.3579,0.0005,1,0.982
I00699,1,ADMISSION_MONTH_6,-0.882,0.4672,3.5638,1,0.0591
I00699,1,ADMISSION_MONTH_7,0,,,0,
I00699,1,ADMISSION_MONTH_8,0.2645,0.3519,0.565,1,0.4523
I00699,1,ADMISSION_MONTH_9,0.2513,0.3576,0.4939,1,0.4822
I00699,1,ADMISSION_MONTH_10,0.2394,0.3686,0.4217,1,0.5161
I00699,1,ADMISSION_MONTH_11,-0.1126,0.3819,0.0869,1,0.7681
I00699,1,ADMISSION_MONTH_12,0.2512,0.3632,0.4782,1,0.4892
I00699,1,AGE_GROUP_1,1.0868,1.064,1.0432,1,0.3071
I00699,1,AGE_GROUP_2,-14.2249,1497.8125,0.0001,1,0.9924
I00699,1,AGE_GROUP_3,-14.1654,2202.2968,0,1,0.9949
I00699,1,AGE_GROUP_4,-14.2713,1327.0464,0.0001,1,0.9914
I00699,1,AGE_GROUP_5,-14.5249,827.8036,0.0003,1,0.986
I00699,1,AGE_GROUP_6,-14.6153,708.3582,0.0004,1,0.9835
I00699,1,AGE_GROUP_7,-0.988,0.7694,1.6486,1,0.1991
I00699,1,AGE_GROUP_8,0,,,0,
I00699,1,AGE_GROUP_9,0.6472,0.4349,2.2141,1,0.1368
I00699,1,AGE_GROUP_10,-0.3874,0.582,0.4432,1,0.5056
I00699,1,AGE_GROUP_11,0.5595,0.4348,1.6557,1,0.1982
I00699,1,AGE_GROUP_12,0.7206,0.4512,2.551,1,0.1102
I00699,1,AGE_GROUP_13,1.0659,0.4112,6.7202,1,0.0095
I00699,1,AGE_GROUP_14,1.3152,0.3921,11.2484,1,0.0008
I00699,1,AGE_GROUP_15,1.3805,0.4045,11.6486,1,0.0006
I00699,1,AGE_GROUP_16,2.2716,0.3689,37.9071,1,0
I00699,1,AGE_GROUP_17,1.9405,0.3755,26.7024,1,0
I00699,1,AGE_GROUP_18,2.562,0.3859,44.0753,1,0
I00699,1,AGE_GROUP_19,2.8879,0.4016,51.7102,1,0
