INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,RCF,"AIREDALE NHS FOUNDATION TRUST",9,0,0.9922
I00699,1,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",18,0,0.7438
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",72,*,3.0502
I00699,1,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0078
I00699,1,R1H,"BARTS HEALTH NHS TRUST",132,*,3.8218
I00699,1,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",12,*,1.1895
I00699,1,RC1,"BEDFORD HOSPITAL NHS TRUST",*,0,0.0268
I00699,1,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",8,0,0.4745
I00699,1,RMC,"BOLTON NHS FOUNDATION TRUST",11,0,0.5843
I00699,1,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",21,0,0.9194
I00699,1,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",27,0,1.2000
I00699,1,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",7,0,0.1739
I00699,1,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",*,0,0.0304
I00699,1,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",10,0,0.6732
I00699,1,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",14,0,0.5872
I00699,1,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",31,*,1.3424
I00699,1,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",7,0,0.1720
I00699,1,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",*,0,0.4935
I00699,1,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",*,0,0.1137
I00699,1,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",*,*,0.4494
I00699,1,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",25,0,1.0654
I00699,1,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",30,*,0.9152
I00699,1,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",9,0,0.1437
I00699,1,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",6,0,0.1968
I00699,1,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",8,*,0.3981
I00699,1,RJN,"EAST CHESHIRE NHS TRUST",*,0,0.1807
I00699,1,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",13,0,0.4665
I00699,1,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",14,*,0.5599
I00699,1,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",*,0,0.0807
I00699,1,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",6,*,0.3030
I00699,1,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",23,0,1.2959
I00699,1,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,0,0.3349
I00699,1,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",11,*,0.8903
I00699,1,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",13,*,0.3731
I00699,1,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",43,*,2.2796
I00699,1,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,0.1827
I00699,1,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",46,*,1.2649
I00699,1,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",27,*,0.8756
I00699,1,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",7,*,0.5086
I00699,1,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",76,*,3.2414
I00699,1,RGQ,"IPSWICH HOSPITAL NHS TRUST",*,0,0.0000
I00699,1,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,0,0.0342
I00699,1,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",*,0,0.0276
I00699,1,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",33,*,0.9743
I00699,1,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,*,0.1600
I00699,1,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",10,0,0.4475
I00699,1,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",39,*,1.0978
I00699,1,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",33,0,1.3754
I00699,1,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",123,*,5.3129
I00699,1,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",27,0,0.6353
I00699,1,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",*,0,0.0278
I00699,1,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",46,*,1.0559
I00699,1,RPA,"MEDWAY NHS FOUNDATION TRUST",*,*,0.3519
I00699,1,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,0.0148
