INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,RCF,"AIREDALE NHS FOUNDATION TRUST",*,0,0.0320
I00699,1,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",20,*,0.8026
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",70,*,2.4675
I00699,1,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0125
I00699,1,R1H,"BARTS HEALTH NHS TRUST",146,*,5.4684
I00699,1,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",9,0,0.3083
I00699,1,RC1,"BEDFORD HOSPITAL NHS TRUST",*,*,0.1902
I00699,1,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6,0,0.4022
I00699,1,RMC,"BOLTON NHS FOUNDATION TRUST",13,0,0.6875
I00699,1,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",25,0,1.2781
I00699,1,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",20,0,0.7584
I00699,1,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",13,*,0.6905
I00699,1,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",*,0,0.0367
I00699,1,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",14,0,0.8631
I00699,1,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",21,0,0.5589
I00699,1,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",49,*,0.8010
I00699,1,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",26,*,0.8812
I00699,1,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",*,0,0.2031
I00699,1,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",8,0,0.2229
I00699,1,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",*,0,0.4603
I00699,1,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",*,0,0.1542
I00699,1,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",*,0,0.2505
I00699,1,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",23,*,0.9168
I00699,1,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",29,*,1.0476
I00699,1,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",*,0,0.0601
I00699,1,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",*,0,0.4526
I00699,1,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",*,*,0.1573
I00699,1,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",6,0,0.2059
I00699,1,RJN,"EAST CHESHIRE NHS TRUST",*,*,0.7138
I00699,1,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",14,0,0.1937
I00699,1,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",20,*,2.1394
I00699,1,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",*,0,0.0865
I00699,1,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",8,*,0.4004
I00699,1,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",24,0,1.2421
I00699,1,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",*,0,0.0125
I00699,1,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,0,0.5699
I00699,1,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",13,*,0.7094
I00699,1,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",15,*,0.4096
I00699,1,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",45,*,2.2228
I00699,1,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",7,0,0.2527
I00699,1,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",*,0,0.1544
I00699,1,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",52,*,0.9296
I00699,1,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",18,0,0.8410
I00699,1,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",6,0,0.2181
I00699,1,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",74,0,2.6154
I00699,1,RGQ,"IPSWICH HOSPITAL NHS TRUST",*,0,0.0501
I00699,1,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",7,0,0.0714
I00699,1,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",*,0,0.0037
I00699,1,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",38,0,0.7539
I00699,1,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,0,0.0190
I00699,1,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",15,0,0.9087
I00699,1,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",40,*,1.9828
I00699,1,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",35,0,1.2438
I00699,1,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",121,*,5.2155
I00699,1,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",21,*,0.7319
I00699,1,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",*,0,0.0308
I00699,1,RPA,"MEDWAY NHS FOUNDATION TRUST",*,*,0.2425
I00699,1,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",*,0,0.1971
I00699,1,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",13,0,0.4944
I00699,1,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",11,0,0.2944
I00699,1,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",7,0,0.1549
I00699,1,RVJ,"NORTH BRISTOL NHS TRUST",16,0,1.0037
I00699,1,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",*,0,0.2115
I00699,1,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",44,*,1.4818
I00699,1,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",12,*,0.6654
I00699,1,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",9,*,0.3739
I00699,1,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",9,*,0.2034
I00699,1,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",*,0,0.0084
I00699,1,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",10,*,0.2101
I00699,1,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",*,*,0.1662
I00699,1,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",44,*,2.0762
I00699,1,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",32,*,1.1311
I00699,1,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",54,0,1.4752
I00699,1,RK9,"PLYMOUTH HOSPITALS NHS TRUST",*,0,0.0906
I00699,1,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",*,0,0.0000
I00699,1,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",8,*,0.3239
I00699,1,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",*,*,0.2952
I00699,1,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",*,0,0.2689
I00699,1,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",*,0,0.0560
I00699,1,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",44,*,2.4335
I00699,1,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",26,*,0.6596
I00699,1,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",*,0,0.4271
I00699,1,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",*,0,0.1269
I00699,1,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",14,0,0.4513
I00699,1,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",47,*,2.3470
I00699,1,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",58,0,1.6674
I00699,1,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",*,*,0.7941
I00699,1,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",*,0,0.1209
I00699,1,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",*,0,0.0137
I00699,1,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",*,*,0.1762
I00699,1,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",*,0,0.0790
I00699,1,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",9,*,0.2982
I00699,1,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",62,0,2.3859
I00699,1,RWJ,"STOCKPORT NHS FOUNDATION TRUST",*,*,0.1487
I00699,1,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",11,0,0.3918
I00699,1,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",9,*,0.9518
I00699,1,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",*,0,0.1051
I00699,1,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",8,*,0.5807
I00699,1,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",17,*,0.7543
I00699,1,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",25,*,0.6045
I00699,1,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",*,0,0.1588
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.2722
I00699,1,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",8,0,0.4107
I00699,1,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",*,0,0.0133
I00699,1,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",20,*,1.0227
I00699,1,RKE,"THE WHITTINGTON HOSPITAL NHS TRUST",17,*,0.6038
I00699,1,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",*,0,0.0751
I00699,1,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",15,*,0.7093
I00699,1,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",44,*,1.7341
I00699,1,RM2,"UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST",8,*,0.5866
I00699,1,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",24,0,0.9690
I00699,1,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",27,0,1.2607
I00699,1,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",15,0,0.5580
I00699,1,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",50,*,2.0762
I00699,1,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",58,*,2.4272
I00699,1,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",*,*,0.0487
I00699,1,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",22,*,0.6495
I00699,1,RBK,"WALSALL HEALTHCARE NHS TRUST",9,0,0.5897
I00699,1,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",*,0,0.0103
I00699,1,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",16,*,0.6777
I00699,1,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",*,0,0.0472
I00699,1,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",*,0,0.0206
I00699,1,RA3,"WESTON AREA HEALTH NHS TRUST",*,0,0.0956
I00699,1,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",*,0,0.6194
I00699,1,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",*,0,0.0125
I00699,1,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",*,0,0.0126
I00699,1,RLQ,"WYE VALLEY NHS TRUST",*,*,0.2072
I00699,1,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",*,0,0.0955
I00699,2,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",519,170,110.8748
I00699,2,RCF,"AIREDALE NHS FOUNDATION TRUST",162,38,32.3714
I00699,2,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",482,114,108.2059
I00699,2,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",796,193,151.6535
I00699,2,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",282,69,54.1954
I00699,2,R1H,"BARTS HEALTH NHS TRUST",993,136,161.4920
I00699,2,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1314,243,292.8568
I00699,2,RC1,"BEDFORD HOSPITAL NHS TRUST",394,81,82.0955
I00699,2,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",535,143,107.0421
I00699,2,RMC,"BOLTON NHS FOUNDATION TRUST",613,127,123.3505
I00699,2,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",285,35,41.6037
I00699,2,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",573,70,102.3870
I00699,2,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1235,197,250.6114
I00699,2,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",170,52,39.2549
I00699,2,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",350,58,62.7235
I00699,2,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",447,58,73.6392
I00699,2,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",388,45,38.0784
I00699,2,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",417,72,70.5797
I00699,2,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",339,61,70.9295
I00699,2,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",527,116,99.4898
I00699,2,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",594,165,130.1564
I00699,2,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",469,107,93.8380
I00699,2,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",612,141,114.8117
I00699,2,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",426,92,77.5337
I00699,2,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",524,86,87.7724
I00699,2,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",1190,196,259.5950
I00699,2,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",524,132,104.4344
I00699,2,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",190,39,35.8104
I00699,2,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",376,59,71.1618
I00699,2,RJN,"EAST CHESHIRE NHS TRUST",283,73,63.4967
I00699,2,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",1520,437,347.4545
I00699,2,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",726,162,144.7384
I00699,2,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",632,166,139.4877
I00699,2,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",608,119,134.4048
I00699,2,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",1489,294,299.1214
I00699,2,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",448,87,96.2697
I00699,2,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",207,49,48.6413
I00699,2,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",544,132,106.1824
I00699,2,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",706,185,150.0499
I00699,2,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",166,25,19.5188
I00699,2,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",671,150,146.2869
I00699,2,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",153,39,36.3211
I00699,2,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",1149,234,223.4423
I00699,2,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",113,18,15.6840
I00699,2,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",503,85,85.0138
I00699,2,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",586,99,112.2103
I00699,2,RGQ,"IPSWICH HOSPITAL NHS TRUST",585,108,122.1840
I00699,2,R1F,"ISLE OF WIGHT NHS TRUST",344,68,73.7756
I00699,2,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",308,42,61.9892
I00699,2,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",293,60,54.2549
I00699,2,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",692,117,108.2771
I00699,2,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",408,93,87.6439
I00699,2,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",848,168,180.7656
I00699,2,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",850,122,119.3065
I00699,2,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",898,151,165.1938
I00699,2,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",908,166,193.0415
I00699,2,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",524,99,97.9346
I00699,2,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",488,75,95.3438
I00699,2,RPA,"MEDWAY NHS FOUNDATION TRUST",433,85,88.9189
I00699,2,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",373,85,75.4626
I00699,2,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",487,95,108.9771
I00699,2,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",576,133,116.8283
I00699,2,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",371,62,68.9053
I00699,2,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1004,229,238.0645
I00699,2,RVJ,"NORTH BRISTOL NHS TRUST",408,78,92.7701
I00699,2,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",319,59,61.8388
I00699,2,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",351,50,46.4569
I00699,2,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",412,76,72.6432
I00699,2,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",1273,272,279.7153
I00699,2,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",429,76,73.8111
I00699,2,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",176,38,36.9558
I00699,2,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",518,161,119.3972
I00699,2,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",624,157,144.6038
I00699,2,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",1919,377,405.4448
I00699,2,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",700,110,128.8975
I00699,2,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",537,74,82.4703
I00699,2,RK9,"PLYMOUTH HOSPITALS NHS TRUST",660,124,134.6200
I00699,2,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",398,53,81.9365
I00699,2,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",822,195,183.9888
I00699,2,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",648,143,124.9913
I00699,2,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",455,82,87.1539
I00699,2,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",422,62,79.7684
I00699,2,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",581,122,117.8727
I00699,2,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",800,174,156.6425
I00699,2,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",258,34,50.4029
I00699,2,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",573,111,115.5419
I00699,2,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",557,136,115.1913
I00699,2,RNZ,"SALISBURY NHS FOUNDATION TRUST",218,45,47.5679
I00699,2,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",371,72,71.6090
I00699,2,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",721,149,152.1938
I00699,2,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",580,110,140.5978
I00699,2,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",594,127,123.5650
I00699,2,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",1736,308,342.0528
I00699,2,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",186,46,40.4733
I00699,2,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",347,55,73.4816
I00699,2,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",591,164,133.4468
I00699,2,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",369,80,75.8592
I00699,2,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",629,135,122.9155
I00699,2,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",676,125,132.2005
I00699,2,RWJ,"STOCKPORT NHS FOUNDATION TRUST",346,74,71.0891
I00699,2,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",569,129,123.5059
I00699,2,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",159,48,33.2192
I00699,2,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",558,96,112.8910
I00699,2,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",546,167,122.9628
I00699,2,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",164,29,27.6792
I00699,2,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",521,85,79.7424
I00699,2,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",303,84,65.0309
I00699,2,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",601,132,146.3506
I00699,2,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",171,30,32.3505
I00699,2,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",277,44,68.7474
I00699,2,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",633,129,112.1986
I00699,2,RKE,"THE WHITTINGTON HOSPITAL NHS TRUST",281,40,52.2070
I00699,2,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",610,127,144.7986
I00699,2,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",822,220,183.6568
I00699,2,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",177,16,23.9342
I00699,2,RM2,"UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST",383,52,73.6343
I00699,2,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",462,89,92.8661
I00699,2,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",503,110,89.8214
I00699,2,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",702,95,103.5681
I00699,2,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",402,51,68.2818
I00699,2,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",1318,178,218.8029
I00699,2,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",474,96,90.5966
I00699,2,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",656,75,117.7881
I00699,2,RBK,"WALSALL HEALTHCARE NHS TRUST",281,69,58.8317
I00699,2,RWW,"WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST",354,74,61.7553
I00699,2,RWG,"WEST HERTFORDSHIRE HOSPITALS NHS TRUST",367,52,71.7079
I00699,2,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",464,81,101.5923
I00699,2,RYR,"WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",1211,248,289.2615
I00699,2,RA3,"WESTON AREA HEALTH NHS TRUST",202,41,44.6522
I00699,2,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",888,223,199.8378
