INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0701,2,48208,2136,1996.1622,0.9323,1.0711,0.8946,1.1178
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9656,2,34833,1049,1086.3968,0.9089,1.0973,0.8883,1.1257
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9642,2,42117,1754,1819.0904,0.9291,1.0746,0.8938,1.1188
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1.0712,2,82856,3287,3068.4631,0.9451,1.0571,0.8973,1.1144
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0.9915,2,42125,1451,1463.4109,0.9212,1.0834,0.8918,1.1213
I00699,R1H,"BARTS HEALTH NHS TRUST",0.8821,3,155421,3711,4207.1909,0.9530,1.0486,0.8987,1.1127
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0363,2,54894,2148,2072.7480,0.9335,1.0698,0.8949,1.1175
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.0490,2,33429,1188,1132.4700,0.9107,1.0953,0.8889,1.1250
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1425,1,57161,2388,2090.1547,0.9338,1.0695,0.8949,1.1174
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0432,2,65382,1716,1644.8877,0.9255,1.0786,0.8929,1.1199
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9748,2,75557,1877,1925.4623,0.9311,1.0724,0.8943,1.1182
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",0.9632,2,71181,2454,2547.7166,0.9399,1.0627,0.8963,1.1157
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.9366,2,56825,1547,1651.7286,0.9257,1.0784,0.8930,1.1198
I00699,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",0.9918,2,42510,1299,1309.7509,0.9168,1.0884,0.8906,1.1228
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",1.0473,2,66162,2294,2190.4031,0.9353,1.0678,0.8953,1.1170
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.8126,3,77367,2197,2703.6411,0.9416,1.0609,0.8966,1.1153
I00699,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.1179,2,105314,1739,1555.5298,0.9235,1.0809,0.8924,1.1206
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.8273,3,90330,1560,1885.5785,0.9303,1.0732,0.8941,1.1184
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.9868,2,50008,1860,1884.9316,0.9303,1.0732,0.8941,1.1184
I00699,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",1.0061,2,57048,2097,2084.2375,0.9337,1.0696,0.8949,1.1174
I00699,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",1.0897,2,57191,2313,2122.5385,0.9343,1.0689,0.8950,1.1173
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1.0904,2,48454,1540,1412.3642,0.9198,1.0850,0.8914,1.1218
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.0612,2,82395,3063,2886.2234,0.9435,1.0589,0.8970,1.1148
I00699,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",0.9061,2,44100,1277,1409.3245,0.9197,1.0851,0.8914,1.1218
I00699,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.0378,2,56221,1453,1400.1407,0.9194,1.0854,0.8913,1.1219
I00699,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0203,2,87810,3323,3256.7731,0.9467,1.0553,0.8976,1.1141
I00699,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0363,2,77413,2900,2798.3232,0.9426,1.0598,0.8968,1.1150
I00699,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1.1551,1,31505,1190,1030.1941,0.9065,1.1001,0.8876,1.1266
