INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.3185,0.3203,16.9409,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-14.4017,1958.8646,0.0001,1,0.9941
I00699,1,AGE_GROUP_2,-14.4301,1371.9338,0.0001,1,0.9916
I00699,1,AGE_GROUP_3,-14.3645,1441.8235,0.0001,1,0.9921
I00699,1,AGE_GROUP_4,-14.5667,1292.895,0.0001,1,0.991
I00699,1,AGE_GROUP_5,-14.945,843.0716,0.0003,1,0.9859
I00699,1,AGE_GROUP_6,-1.8645,1.0353,3.2432,1,0.0717
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,-0.3701,0.4874,0.5766,1,0.4476
I00699,1,AGE_GROUP_9,0.594,0.3776,2.4754,1,0.1156
I00699,1,AGE_GROUP_10,-0.4618,0.521,0.7858,1,0.3754
I00699,1,AGE_GROUP_11,0.6746,0.3666,3.3865,1,0.0657
I00699,1,AGE_GROUP_12,0.9147,0.3645,6.2983,1,0.0121
I00699,1,AGE_GROUP_13,0.5815,0.3991,2.1227,1,0.1451
I00699,1,AGE_GROUP_14,0.9358,0.38,6.0638,1,0.0138
I00699,1,AGE_GROUP_15,1.2735,0.367,12.0411,1,0.0005
I00699,1,AGE_GROUP_16,1.7819,0.3397,27.5158,1,0
I00699,1,AGE_GROUP_17,1.8389,0.3368,29.8173,1,0
I00699,1,AGE_GROUP_18,2.1758,0.3447,39.8362,1,0
I00699,1,AGE_GROUP_19,3.0035,0.3599,69.6577,1,0
I00699,1,AGE_GROUP_20,3.3181,0.4328,58.7803,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.6805,0.1962,12.0301,1,0.0005
I00699,1,CHARLSON_INDEX_3,1.1194,0.1838,37.0798,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3974,0.1478,7.2288,1,0.0072
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.3922,0.2954,221.0318,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,0.1592,0.1763,0.8149,1,0.3667
I00699,1,YEAR_INDEX_3,0.3414,0.168,4.1309,1,0.0421
I00699,2,ADMIMETH_1,-0.4735,0.0373,161.3312,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-4.1909,0.1672,628.2719,1,0
I00699,2,AGE_GROUP_2,-3.765,0.17,490.3541,1,0
I00699,2,AGE_GROUP_3,-3.4802,0.2099,275.0286,1,0
I00699,2,AGE_GROUP_4,-2.4825,0.1742,203.1571,1,0
I00699,2,AGE_GROUP_5,-2.9678,0.1707,302.2164,1,0
I00699,2,AGE_GROUP_6,-2.8122,0.1365,424.2861,1,0
I00699,2,AGE_GROUP_7,-2.6216,0.1116,552.2129,1,0
I00699,2,AGE_GROUP_8,-2.0916,0.0783,713.4732,1,0
I00699,2,AGE_GROUP_9,-1.9159,0.0657,851.5339,1,0
I00699,2,AGE_GROUP_10,-1.5417,0.05,951.4659,1,0
I00699,2,AGE_GROUP_11,-1.379,0.0374,1362.8279,1,0
I00699,2,AGE_GROUP_12,-1.2508,0.0307,1664.6078,1,0
I00699,2,AGE_GROUP_13,-1.0121,0.0252,1608.104,1,0
I00699,2,AGE_GROUP_14,-0.8636,0.0217,1578.5805,1,0
I00699,2,AGE_GROUP_15,-0.6787,0.0184,1365.9838,1,0
I00699,2,AGE_GROUP_16,-0.4741,0.0164,837.1962,1,0
I00699,2,AGE_GROUP_17,-0.2479,0.0154,258.5612,1,0
I00699,2,AGE_GROUP_18,0,,,0,
I00699,2,AGE_GROUP_19,0.342,0.0145,558.5305,1,0
I00699,2,AGE_GROUP_20,0.713,0.0152,2210.2781,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.0785,0.0188,17.4225,1,0
I00699,2,CHARLSON_INDEX_3,0.7122,0.0133,2855.6948,1,0
I00699,2,GENDER_1,0,,,0,
I00699,2,GENDER_2,0.0441,0.0088,25.1041,1,0
I00699,2,GENDER_3,0,,,0,
I00699,2,Intercept,-1.6191,0.0165,9595.5107,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,0.0476,0.0102,21.8982,1,0
I00699,2,YEAR_INDEX_3,0.1381,0.0117,139.4176,1,0
I00699,3,ADMIMETH_1,-0.328,0.2497,1.7259,1,0.1889
I00699,3,ADMIMETH_2,0,,,0,
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,AGE_GROUP_1,-13.2251,496.9214,0.0007,1,0.9788
I00699,3,AGE_GROUP_2,0,,,0,
I00699,3,AGE_GROUP_3,-13.2563,328.4118,0.0016,1,0.9678
I00699,3,AGE_GROUP_4,-0.324,1.0426,0.0966,1,0.756
I00699,3,AGE_GROUP_5,0.148,1.0439,0.0201,1,0.8873
I00699,3,AGE_GROUP_6,-13.3245,882.0802,0.0002,1,0.9879
I00699,3,AGE_GROUP_7,-0.0944,1.0439,0.0082,1,0.9279
I00699,3,AGE_GROUP_8,1.9477,0.4632,17.6769,1,0
I00699,3,AGE_GROUP_9,-0.2492,1.0438,0.057,1,0.8113
I00699,3,AGE_GROUP_10,0.6481,0.6506,0.9922,1,0.3192
I00699,3,AGE_GROUP_11,1.8328,0.417,19.3148,1,0
I00699,3,AGE_GROUP_12,1.8321,0.3905,22.0093,1,0
I00699,3,AGE_GROUP_13,2.1977,0.3504,39.3481,1,0
