INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.5411,0.4239,13.2166,1,0.0003
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,ADMISSION_MONTH_1,0.128,0.3773,0.115,1,0.7345
I00699,1,ADMISSION_MONTH_2,-0.0647,0.4069,0.0252,1,0.8737
I00699,1,ADMISSION_MONTH_3,0.2578,0.3667,0.4942,1,0.4821
I00699,1,ADMISSION_MONTH_4,0.1552,0.3857,0.162,1,0.6874
I00699,1,ADMISSION_MONTH_5,0.138,0.3544,0.1515,1,0.6971
I00699,1,ADMISSION_MONTH_6,-0.4975,0.4308,1.3334,1,0.2482
I00699,1,ADMISSION_MONTH_7,0,,,0,
I00699,1,ADMISSION_MONTH_8,0.2574,0.3504,0.5395,1,0.4626
I00699,1,ADMISSION_MONTH_9,0.2752,0.3553,0.5999,1,0.4386
I00699,1,ADMISSION_MONTH_10,0.3033,0.3627,0.6995,1,0.403
I00699,1,ADMISSION_MONTH_11,-0.0637,0.3797,0.0281,1,0.8668
I00699,1,ADMISSION_MONTH_12,0.2398,0.3611,0.4408,1,0.5067
I00699,1,AGE_GROUP_1,1.0757,1.0651,1.0199,1,0.3126
I00699,1,AGE_GROUP_2,-14.2904,1527.5585,0.0001,1,0.9925
I00699,1,AGE_GROUP_3,-14.1546,2399.9747,0,1,0.9953
I00699,1,AGE_GROUP_4,-14.32,1342.8226,0.0001,1,0.9915
I00699,1,AGE_GROUP_5,-14.5949,846.4042,0.0003,1,0.9862
I00699,1,AGE_GROUP_6,-1.4635,1.0448,1.9622,1,0.1613
I00699,1,AGE_GROUP_7,-0.9861,0.7699,1.6405,1,0.2003
I00699,1,AGE_GROUP_8,0,,,0,
I00699,1,AGE_GROUP_9,0.5796,0.435,1.7753,1,0.1827
I00699,1,AGE_GROUP_10,-0.6897,0.6498,1.1267,1,0.2885
I00699,1,AGE_GROUP_11,0.6154,0.4242,2.1048,1,0.1468
I00699,1,AGE_GROUP_12,0.5833,0.4658,1.5677,1,0.2105
I00699,1,AGE_GROUP_13,1.1042,0.4041,7.4653,1,0.0063
I00699,1,AGE_GROUP_14,1.2707,0.3972,10.2337,1,0.0014
I00699,1,AGE_GROUP_15,1.5094,0.3941,14.6657,1,0.0001
I00699,1,AGE_GROUP_16,2.0776,0.3776,30.2788,1,0
I00699,1,AGE_GROUP_17,2.0339,0.3738,29.6057,1,0
I00699,1,AGE_GROUP_18,2.6131,0.3853,45.995,1,0
I00699,1,AGE_GROUP_19,2.5617,0.417,37.7336,1,0
I00699,1,AGE_GROUP_20,3.5891,0.5036,50.8018,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,BIRTHWEIGHT_6,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.879,0.2128,17.0621,1,0
I00699,1,CHARLSON_INDEX_3,0.8531,0.2141,15.877,1,0.0001
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.6547,0.1787,13.4214,1,0.0002
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.3993,0.4068,116.9479,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.102,0.1972,0.2675,1,0.605
I00699,1,YEAR_INDEX_3,-0.0939,0.1899,0.2445,1,0.621
I00699,2,ADMIMETH_1,-0.3588,0.0339,111.906,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,ADMISSION_MONTH_1,0.283,0.0183,239.7164,1,0
I00699,2,ADMISSION_MONTH_2,0.2944,0.0189,242.6555,1,0
I00699,2,ADMISSION_MONTH_3,0.2673,0.0192,192.9848,1,0
I00699,2,ADMISSION_MONTH_4,0.1928,0.0205,88.7803,1,0
I00699,2,ADMISSION_MONTH_5,0.0838,0.0203,17.0889,1,0
I00699,2,ADMISSION_MONTH_6,0.0485,0.0199,5.9541,1,0.0147
I00699,2,ADMISSION_MONTH_7,0,,,0,
I00699,2,ADMISSION_MONTH_8,-0.0217,0.0189,1.3106,1,0.2523
I00699,2,ADMISSION_MONTH_9,0.0459,0.0189,5.8843,1,0.0153
I00699,2,ADMISSION_MONTH_10,0.0921,0.0187,24.248,1,0
I00699,2,ADMISSION_MONTH_11,0.1415,0.0188,56.8775,1,0
I00699,2,ADMISSION_MONTH_12,0.2676,0.0182,216.7311,1,0
I00699,2,AGE_GROUP_1,-4.3613,0.1833,565.9628,1,0
I00699,2,AGE_GROUP_2,-3.7545,0.1653,515.9142,1,0
I00699,2,AGE_GROUP_3,-3.4017,0.2054,274.2968,1,0
