INDICATOR_CODE,DIAGNOSIS GROUP,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED
I00699,1,R1F,ISLE OF WIGHT NHS TRUST,*,0,0.2895
I00699,1,R1H,BARTS HEALTH NHS TRUST,226,6,8.2739
I00699,1,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,185,*,7.3092
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,8,0,0.3487
I00699,1,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.0377
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,12,0,0.8692
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,*,0,0.8694
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,58,*,1.9358
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0293
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,52,*,1.8358
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,34,*,1.2557
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,37,0,1.6831
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,9,0,0.8092
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.1501
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,*,0.3446
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,17,0,0.5551
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.0089
I00699,1,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,*,0,0.2807
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.3133
I00699,1,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,*,0,0.1584
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,*,*,0.068
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,30,0,1.123
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,6,0,0.4181
I00699,1,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.4109
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,7,*,1.0682
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0526
I00699,1,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,0.025
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,0,0.4261
I00699,1,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,12,*,1.1748
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.2931
I00699,1,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,*,*,1.033
I00699,1,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,38,*,1.7667
I00699,1,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,0,0.0682
I00699,1,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,*,0,0.0277
I00699,1,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,0.1543
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,*,0.2186
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",64,*,3.2881
I00699,1,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,*,0.1006
I00699,1,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.4191
I00699,1,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30,*,0.6771
I00699,1,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,14,*,0.7777
I00699,1,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.64
I00699,1,RGQ,IPSWICH HOSPITAL NHS TRUST,*,0,0.6482
I00699,1,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,*,*,0.8618
I00699,1,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,23,*,1.8029
I00699,1,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7,*,0.365
I00699,1,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,27,0,1.1916
I00699,1,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,56,*,4.1402
I00699,1,RHU,PORTSMOUTH HOSPITALS NHS TRUST,8,*,0.5088
I00699,1,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,20,*,1.0031
I00699,1,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,29,0,0.862
I00699,1,RJ2,LEWISHAM AND GREENWICH NHS TRUST,61,*,2.2456
I00699,1,RJ6,CROYDON HEALTH SERVICES NHS TRUST,27,*,0.4553
I00699,1,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,86,*,3.4991
I00699,1,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,*,0,0.2954
I00699,1,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,*,*,0.4594
I00699,1,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,7,0,0.4755
