INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,ENGLAND,284962,198853,86109,70,30
I00733,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2040,1470,570,72,28
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,975,635,345,65,35
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1670,1210,460,72,28
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2905,2110,795,73,27
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1580,1070,510,68,32
I00733,R1H,BARTS HEALTH NHS TRUST,3635,2840,795,78,22
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2100,1510,590,72,28
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1275,860,415,67,33
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2325,1625,700,70,30
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1745,1235,510,71,29
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1860,1250,610,67,33
I00733,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2315,1620,695,70,30
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1570,1145,425,73,27
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2270,1445,825,64,36
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2140,1350,790,63,37
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1555,1095,460,70,30
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1790,1255,535,70,30
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1490,1110,375,74,25
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2960,1960,1000,66,34
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1265,975,290,77,23
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1490,1075,415,72,28
I00733,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2720,1855,865,68,32
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1090,680,410,62,38
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2195,1465,730,67,33
I00733,RJN,EAST CHESHIRE NHS TRUST,910,590,320,65,35
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,4035,2590,1445,64,36
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2660,1885,775,71,29
I00733,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,4385,2950,1435,67,33
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2520,1580,940,63,37
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1915,1410,505,74,26
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3555,2560,1000,72,28
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1385,990,400,71,29
