INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00731,R1F,ISLE OF WIGHT NHS TRUST,14,3273,0.4277
I00731,R1H,BARTS HEALTH NHS TRUST,125,19805,0.6312
I00731,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,44,12409,0.3546
I00731,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,47,16192,0.2903
I00731,RA3,WESTON AREA HEALTH NHS TRUST,12,1767,0.6791
I00731,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,21,3727,0.5635
I00731,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,192,14821,1.2955
I00731,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,46,5198,0.885
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,54,12559,0.43
I00731,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,78,10064,0.775
I00731,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,100,16752,0.5969
I00731,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,18,2620,0.687
I00731,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,19,3697,0.5139
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7,3983,0.1757
I00731,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,54,8419,0.6414
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29,4524,0.641
I00731,RBK,WALSALL HEALTHCARE NHS TRUST,24,4150,0.5783
I00731,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,42,9042,0.4645
I00731,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,36,8113,0.4437
I00731,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,18,3866,0.4656
I00731,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,19,3613,0.5259
I00731,RC1,BEDFORD HOSPITAL NHS TRUST,24,3592,0.6682
I00731,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,43,8378,0.5132
I00731,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,50,10426,0.4796
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,16,4079,0.3923
