"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2016-17)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2016-17.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
ALL, ENGLAND ," 402,691 "," 2,000,683 "," 357,557 "," 277,745 "," 169,349 "," 373,264 "," 713,364 "," 83,700 "," 925,622 "," 1,035,760 "," 2,147,874 "," 347,124 "," 1,357,801 "," 943,901 "," 1,245,431 "," 265,640 "," 106,562 "," 1,716,025 "," 1,012,185 ", 5 ," 1,064,384 ",
,, 55 , 56 , 57 , 58 , 59 , 60 , 61 , 62 , 63 , 64 , 65 , 66 , 67 , 68 , 69 , 70 , 71 , 72 , 73 , 74 , 75 ,
Y54, North Of England ," 133,077 "," 591,395 "," 109,962 "," 92,114 "," 54,791 "," 113,106 "," 243,622 "," 27,247 "," 296,601 "," 342,644 "," 706,059 "," 111,473 "," 455,657 "," 295,841 "," 367,620 "," 75,814 "," 32,494 "," 497,447 "," 323,583 ", 1 ," 318,903 ",
Y55, Midlands and East of England ," 115,025 "," 677,521 "," 101,794 "," 79,237 "," 45,448 "," 101,914 "," 198,241 "," 24,350 "," 269,994 "," 308,337 "," 570,331 "," 101,011 "," 392,847 "," 268,557 "," 396,584 "," 75,645 "," 25,795 "," 522,563 "," 280,083 ", 2 ," 308,359 ",
Y56, London ," 58,010 "," 268,100 "," 66,514 "," 47,362 "," 34,076 "," 68,857 "," 87,592 "," 11,695 "," 135,126 "," 146,043 "," 338,936 "," 51,747 "," 171,310 "," 148,154 "," 221,570 "," 54,659 "," 29,109 "," 246,169 "," 138,042 ", 1 ," 190,301 ",
Y57, South of England ," 96,579 "," 463,667 "," 79,287 "," 59,032 "," 35,034 "," 89,384 "," 183,775 "," 20,408 "," 223,901 "," 238,736 "," 532,548 "," 82,892 "," 337,575 "," 231,349 "," 259,657 "," 59,522 "," 19,164 "," 449,844 "," 270,473 ", 1 ," 246,818 ",
,,,,,,,,,,,,,,,,,,,,,,,
RTQ, 2Gether NHS Foundation Trust (RTQ) , -   , * , -   , -   ," 1,070 ", 29 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 7 , -   , -   , 28 ,
REM, Aintree University Hospital NHS Foundation Trust (REM) ," 1,603 "," 9,694 "," 2,179 "," 1,604 ", 935 ," 1,654 "," 2,998 ", 414 ," 6,378 "," 6,224 "," 20,086 "," 2,164 "," 6,552 "," 4,600 ", 44 , -   , 168 ," 10,654 "," 7,198 ", -   ," 5,105 ",
RCF, Airedale NHS Foundation Trust (RCF) ," 1,696 "," 9,749 "," 1,506 "," 1,270 ", 245 , 711 ," 1,350 ", 285 ," 3,118 "," 3,703 "," 8,048 ", 865 ," 2,673 "," 4,394 "," 7,232 ", 626 , 130 ," 6,508 "," 2,752 ", -   ," 7,132 ",
NHM02, Aldeburgh Community Hospital (NHM02) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 216 , -   , -   , -   ,
RBS, Alder Hey Children's NHS Foundation Trust (RBS) ," 2,496 "," 4,399 ", 578 ," 1,339 ", 186 ," 1,197 ", 498 , 557 , 258 ," 4,553 "," 4,465 ", 874 ," 2,828 "," 2,302 ", -   , 933 ," 4,258 "," 4,039 "," 3,644 ", -   ," 1,344 ",
ARH01, Arthur Rank Hospice (ARH01) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 97 , -   , -   , -   ,
RTK, Ashford and St Peter's Hospitals NHS Foundation Trust (RTK) ," 2,109 "," 6,614 "," 1,693 "," 1,970 ", 366 ," 1,477 "," 3,739 ", 281 ," 5,439 "," 5,124 "," 12,934 "," 1,424 "," 5,926 "," 5,122 "," 5,488 "," 1,809 ", 561 ," 6,856 "," 3,958 ", -   ," 4,127 ",
NVC01, Ashtead Hospital (NVC01) , 13 , 45 , 9 , -   , -   , 84 , 205 , * , 68 , 46 , 730 , 34 , 899 , 62 , -   , -   , * , 128 , 7 , -   , 36 ,
NYW04, Aspen - Claremont Hospital (NYW04) , -   , 17 , 7 , * , -   , 58 , 99 , -   , 27 , 8 , 616 , 18 ," 1,712 ", 206 , -   , -   , * , 319 , 16 , -   , 43 ,
NYW03, Aspen - Highgate Hospital (NYW03) , -   , 27 , -   , -   , -   , 18 , -   , * , * , 26 , 66 , 39 , 362 , 6 , -   , -   , * , 8 , * , -   , * ,
NYW02, Aspen - Parkside Hospital (NYW02) , * , 8 , * , -   , -   , 12 , -   , 6 , -   , 52 , 56 , * , 176 , 40 , -   , -   , * , 10 , * , -   , 12 ,
