"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2019-20)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2019-20.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
ALL, ENGLAND ," 454,701 "," 2,158,849 "," 413,191 "," 328,467 "," 171,757 "," 385,177 "," 764,681 "," 81,005 "," 964,163 "," 1,125,884 "," 2,301,892 "," 382,182 "," 1,258,674 "," 923,091 "," 1,188,131 "," 244,878 "," 97,332 "," 1,857,670 "," 1,066,107 "," 13,725 "," 1,021,001 ",
,,,,,,,,,,,,,,,,,,,,,,,
Y56, London ," 65,260 "," 300,105 "," 83,985 "," 54,045 "," 29,245 "," 85,150 "," 91,780 "," 11,730 "," 140,775 "," 155,010 "," 364,925 "," 56,695 "," 168,370 "," 148,575 "," 222,890 "," 54,520 "," 25,720 "," 289,520 "," 144,690 "," 4,780 "," 170,260 ",
Y58, South West ," 44,415 "," 253,220 "," 40,960 "," 30,505 "," 17,695 "," 38,650 "," 80,580 "," 8,075 "," 102,395 "," 107,100 "," 239,015 "," 37,050 "," 116,780 "," 88,635 "," 109,355 "," 20,120 "," 6,965 "," 193,280 "," 121,915 ", 650 ," 94,760 ",
Y59, South East ," 63,400 "," 235,530 "," 49,470 "," 39,220 "," 23,000 "," 50,830 "," 107,210 "," 11,295 "," 133,015 "," 150,080 "," 338,555 "," 54,650 "," 194,165 "," 138,890 "," 136,225 "," 31,775 "," 10,515 "," 288,385 "," 166,080 "," 1,605 "," 147,190 ",
Y60, Midlands ," 83,695 "," 473,675 "," 74,015 "," 63,390 "," 31,220 "," 61,750 "," 155,690 "," 14,700 "," 174,035 "," 214,590 "," 389,895 "," 73,405 "," 244,900 "," 161,960 "," 231,265 "," 43,815 "," 16,795 "," 363,085 "," 185,085 "," 2,660 "," 191,900 ",
Y61, East of England  ," 48,835 "," 264,230 "," 43,990 "," 32,700 "," 18,225 "," 35,740 "," 72,725 "," 8,835 "," 112,875 "," 122,030 "," 234,565 "," 38,185 "," 126,765 "," 98,285 "," 131,505 "," 27,175 "," 7,340 "," 213,915 "," 110,490 "," 1,160 "," 111,585 ",
Y62, North West ," 72,390 "," 234,015 "," 56,935 "," 51,460 "," 26,595 "," 50,560 "," 127,130 "," 12,075 "," 138,620 "," 182,955 "," 348,000 "," 55,280 "," 186,495 "," 135,560 "," 173,725 "," 31,050 "," 14,490 "," 246,010 "," 157,780 "," 1,550 "," 142,865 ",
Y63, North East & Yorkshire ," 76,700 "," 398,065 "," 63,840 "," 57,145 "," 25,780 "," 62,490 "," 129,560 "," 14,295 "," 162,400 "," 194,120 "," 386,895 "," 66,910 "," 221,070 "," 151,165 "," 183,165 "," 36,425 "," 15,510 "," 263,475 "," 180,065 "," 1,320 "," 162,425 ",
,,,,,,,,,,,,,,,,,,,,,,,
