INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.2397,0.3054,16.4769,1,0
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-13.3764,1284.2948,0.0001,1,0.9917
I00699,1,AGE_GROUP_2,-13.4328,909.2358,0.0002,1,0.9882
I00699,1,AGE_GROUP_3,-13.3485,814.4346,0.0003,1,0.9869
I00699,1,AGE_GROUP_4,-13.5671,835.0982,0.0003,1,0.987
I00699,1,AGE_GROUP_5,-13.8428,529.133,0.0007,1,0.9791
I00699,1,AGE_GROUP_6,-1.8227,1.0375,3.0862,1,0.079
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.0881,0.4322,0.0415,1,0.8385
I00699,1,AGE_GROUP_9,0.6048,0.3839,2.482,1,0.1152
I00699,1,AGE_GROUP_10,-0.1714,0.4928,0.1209,1,0.7281
I00699,1,AGE_GROUP_11,0.6426,0.3736,2.9593,1,0.0854
I00699,1,AGE_GROUP_12,1.0429,0.3668,8.0847,1,0.0045
I00699,1,AGE_GROUP_13,0.8,0.3843,4.3324,1,0.0374
I00699,1,AGE_GROUP_14,1.221,0.3668,11.0786,1,0.0009
I00699,1,AGE_GROUP_15,1.5193,0.3564,18.176,1,0
I00699,1,AGE_GROUP_16,1.9215,0.3429,31.4035,1,0
I00699,1,AGE_GROUP_17,1.8588,0.3409,29.7392,1,0
I00699,1,AGE_GROUP_18,2.0978,0.3485,36.2453,1,0
I00699,1,AGE_GROUP_19,3.0427,0.3596,71.5975,1,0
I00699,1,AGE_GROUP_20,2.8861,0.4751,36.8994,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.8783,0.1887,21.6547,1,0
I00699,1,CHARLSON_INDEX_3,1.3768,0.1772,60.3693,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.2988,0.1412,4.4809,1,0.0343
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-4.5506,0.304,224.101,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,0.2255,0.1638,1.896,1,0.1685
I00699,1,YEAR_INDEX_3,0.1192,0.1676,0.5059,1,0.4769
I00699,2,ADMIMETH_1,-0.5544,0.0442,157.2189,1,0
